Position in the file,Number of scenarios,Hull White alpha,Hull White sigma,Prod Code Key,Policy id,beginning account value ,RRC TOT rate,Guarantee fees rate,Fixed fees rate,Ongoing commissions rate,Tail commissions rate,EHC (internal) rate,EHC (New-Re) rate,PV Claims WB,PV Claims DB,PV Claims AB,PV Claims IB,PV Claims TOT,PV AV (Internal),PV AV (New-Re),PV RRC TOT Charges,PV Guarantee fees Charges,PV Fixed fees Charges,PV Ongoing commissions Charges,PV Tail commissions Charges,PV Fund fees Charges,PV Retrocessions Charges,PV Expenses Charges,PV Real Charges,PV EHC(internal) Charges,PV EHC(New-Re) Charges,PV Lapse Charges,LOV(Internal),LOV(New-Re),ITM,
11,10000,0.04,0.01,CH_WB01,195001605,84936.21678,0.013,0.013,0.03,0,0,0.022325709,0.0282,15648.684616707,0,0,0,15648.684616707,5971473.16128861,5963157.28437108,6469.08529723058,6469.08529723058,1785.08068271872,0,0,7451.30379901123,5712.66624590861,0,8254.16597994931,11109.7810083533,14013.419618272,0,4538.90360835374,1635.264998435,0,
12,10000,0.04,0.01,CH_WB01,195001608,107012.8257,0.013,0.013,0.03,0,0,0.019791837,0.0268,24603.9910889765,0,0,0,24603.9910889765,8791109.65285823,8779397.74298485,9523.70393476369,9523.70393476369,2127.39802980271,0,0,10969.0381318332,8409.59590107211,0,11651.1019645664,14499.3507748747,19607.3216259995,0,10104.6403141017,4996.66946297697,0,
13,10000,0.04,0.01,CH_WB01,195001609,238621.8831,0.013,0.013,0.03,0,0,0.022340696,0.0282,43978.2228195242,0,0,0,43978.2228195242,16776196.9472978,16752834.0341991,18174.2129970718,18174.2129970718,5015.39849722057,0,0,20933.6181656288,16049.1072603154,0,23189.6114942924,31232.6596696424,39369.1599803678,0,12745.5631498818,4609.06283915639,0,
14,10000,0.04,0.01,CH_WB01,195001611,383496.227,0.013,0.013,0.03,0,0,0.022337894,0.0282,70674.8114487924,0,0,0,70674.8114487924,26961537.1481325,26923989.9832645,29208.3376271462,29208.3376271462,8060.29211165174,0,0,33643.0554585579,25793.0091848944,0,37268.629738798,50188.6632410038,63271.3764606715,0,20486.1482077886,7403.43498812085,0,
15,10000,0.04,0.01,CH_WB01,195001612,107365.5954,0.013,0.013,0.03,0,0,0.022007649,0.0282,21776.4231983452,0,0,0,21776.4231983452,8222702.02102022,8210837.57685043,8907.92987194051,8907.92987194051,2568.42224094468,0,0,10260.3607254198,7866.27655615516,0,11476.3521128852,15080.194992517,19295.4683055985,0,6696.22820582825,2480.9548927467,0,
16,10000,0.04,0.01,CH_WB01,195001613,53654.3256,0.013,0.013,0.03,0,0,0.021881828,0.0282,10120.5971974156,0,0,0,10120.5971974156,3927529.4747027,3922121.00157464,4254.82414676349,4254.82414676349,1111.6561033586,0,0,4900.7795742137,3757.26434023051,0,5366.48025012208,7161.79370253123,9216.98435370041,0,2958.80349488434,903.612843715155,0,
17,10000,0.04,0.01,CH_WB01,195001617,25576.87402,0.013,0.013,0.03,0,0,0.022231647,0.0282,4690.43539125724,0,0,0,4690.43539125724,1794503.34426061,1792000.57176941,1944.03782544917,1944.03782544917,533.638907619141,0,0,2239.20908037271,1716.72696161908,0,2477.67673306832,3324.56374082677,4211.2013436581,0,1365.87165043047,479.23404759914,0,
18,10000,0.04,0.01,CH_WB01,195001619,197061.1349,0.013,0.013,0.03,0,0,0.021924136,0.0282,42053.9685919298,0,0,0,42053.9685919298,15802310.4312901,15780117.4508202,17119.1678188931,17119.1678188931,4857.60363063811,0,0,19718.017758111,15117.1469478851,0,21976.7714495312,28871.0002508185,37083.2760094275,0,13182.9683411113,4970.69258250231,0,
19,10000,0.04,0.01,CH_WB01,195001621,304361.2402,0.013,0.013,0.03,0,0,0.022885016,0.0282,54987.8105845119,0,0,0,54987.8105845119,20491368.8297219,20462451.7211704,22198.9849155336,22198.9849155336,6497.70248256795,0,0,25569.7271696501,19603.4574967317,0,28696.6873981015,39078.775294174,48086.7615447505,0,15909.0352903379,6901.04903976141,0,
20,10000,0.04,0.01,CH_WB01,195001623,135299.5187,0.013,0.013,0.03,0,0,0.022796164,0.0282,24328.1931000158,0,0,0,24328.1931000158,9087238.44189307,9074394.0369121,9844.51907788126,9844.51907788126,2866.34003782949,0,0,11339.3127687129,8693.47312267992,0,12710.8591157107,17262.8481523749,21324.8259867434,0,7065.34494764094,3003.3671132724,0,
21,10000,0.04,0.01,CH_WB01,195001625,78013.3321,0.013,0.013,0.03,0,0,0.021255789,0.0282,18082.660933131,0,0,0,18082.660933131,6919405.17393357,6909552.13237071,7496.00994259471,7496.00994259471,2249.11321195794,0,0,8633.65041705078,6619.1319864056,0,9745.12315455265,12256.45136522,16237.4475110712,0,5826.20956791102,1845.21342205986,0,
22,10000,0.04,0.01,CH_WB01,195001626,56383.60366,0.013,0.013,0.03,0,0,0.022317162,0.0282,10554.9100015801,0,0,0,10554.9100015801,3962472.00690901,3956945.09524269,4292.69261664958,4292.69261664958,1188.80759315731,0,0,4944.4335098028,3790.73235751548,0,5481.50020980689,7369.26080822112,9298.82097382031,0,3185.649193359,1256.08902775981,0,
23,10000,0.04,0.01,CH_WB01,195001627,27077.95518,0.013,0.013,0.03,0,0,0.022181343,0.0268,5647.95127094245,0,0,0,5647.95127094245,1815975.7960427,1813372.30921853,1967.31748904617,1967.31748904617,578.11436491518,0,0,2266.01253610365,1737.27627767947,0,2545.43185396135,3356.7318343101,4049.86482392138,0,2291.21943663235,1598.08644702107,0,
24,10000,0.04,0.01,CH_WB01,195001629,162978.0528,0.013,0.013,0.03,0,0,0.02214768,0.0268,34664.1739154542,0,0,0,34664.1739154542,11254578.4252531,11238819.1609886,12192.454643195,12192.454643195,3480.78246524266,0,0,14043.6275441798,10766.7811172045,0,15673.2371084377,20771.9001247841,25100.0294595412,0,13892.2737906701,9564.14445591304,0,
25,10000,0.04,0.01,CH_WB01,195001632,61826.06591,0.013,0.013,0.03,0,0,0.022380734,0.0282,11046.1773465135,0,0,0,11046.1773465135,4184181.96646058,4178183.33634531,4532.85107366595,4532.85107366595,1286.30270307163,0,0,5221.12196960269,4002.8601766954,0,5819.15377673758,7803.75529991259,9818.73084041149,0,3242.42204660095,1227.44650610205,0,
26,10000,0.04,0.01,CH_WB01,195001633,119521.7859,0.013,0.013,0.03,0,0,0.022878256,0.0282,21590.0144893493,0,0,0,21590.0144893493,8046349.41442384,8034996.65969154,8716.8856447923,8716.8856447923,2551.4677916792,0,0,10040.4708377638,7697.69430895222,0,11268.3534364715,15340.5368140532,18882.2421502751,0,6249.47767529605,2707.77233907416,0,
27,10000,0.04,0.01,CH_WB01,195001634,43584.85851,0.013,0.013,0.03,0,0,0.020119169,0.0282,8757.09911808456,0,0,0,8757.09911808456,3652988.2419488,3648147.72128113,3957.39572044534,3957.39572044534,850.221532412209,0,0,4557.98338195232,3494.45392616344,0,4807.61725285755,6124.59064956506,8573.14714501065,0,2632.5084685195,183.951973073918,0,
28,10000,0.04,0.01,CH_WB01,195001635,184407.7971,0.013,0.013,0.03,0,0,0.020563577,0.0286,52864.4254833513,0,0,0,52864.4254833513,17474807.3157975,17451241.4823523,18931.0287971173,18931.0287971173,4329.19420812248,0,0,21803.4493231653,16715.9778144267,0,23260.2230052398,29945.3788165471,41592.1255329396,0,22919.0466668042,11272.2999504118,0,
29,10000,0.04,0.01,CH_WB01,195001637,100333.5783,0.013,0.013,0.03,0,0,0.022891907,0.0282,18129.196851296,0,0,0,18129.196851296,6754502.1133229,6744971.92751746,7317.38607776559,7317.38607776559,2141.97773870855,0,0,8428.46581956872,6461.82379500269,0,9459.36381647413,12885.2861841243,15850.684029666,0,5243.91066717169,2278.51282162992,0,
30,10000,0.04,0.01,CH_WB01,195001640,205200.5282,0.013,0.013,0.03,0,0,0.021580952,0.0268,44426.7712026113,0,0,0,44426.7712026113,14739988.0737541,14719590.3811512,15968.3357290688,15968.3357290688,4318.11642391324,0,0,18392.5789066704,14100.9771617807,0,20286.452152982,26508.581258355,32873.7518512377,0,17918.1899442563,11553.0193513736,0,
31,10000,0.04,0.01,CH_WB01,195001641,203112.1062,0.013,0.013,0.03,0,0,0.022660182,0.0268,42407.9273778012,0,0,0,42407.9273778012,13497182.9901259,13478018.5330637,14621.9532193043,14621.9532193043,4397.23844964864,0,0,16842.1278234247,12912.2979979589,0,19019.1916689529,25487.3852536299,30100.9080571755,0,16920.5421241713,12307.0193206257,0,
32,10000,0.04,0.01,CH_WB01,195001645,176969.0066,0.013,0.013,0.03,0,0,0.021859937,0.0282,32282.0157833721,0,0,0,32282.0157833721,12509841.4438852,12492181.9452483,13552.3198933823,13552.3198933823,3632.77823218045,0,0,15609.9076518362,11967.5958664078,0,17185.0981255628,22788.6954869433,29356.6275713335,0,9493.32029642884,2925.38821203858,0,
33,10000,0.04,0.01,CH_WB01,195001646,258827.4433,0.013,0.013,0.03,0,0,0.020916735,0.0282,50176.9037687375,0,0,0,50176.9037687375,20381763.4306748,20354289.1929605,22080.2597699022,22080.2597699022,5197.38273912787,0,0,25431.8024458912,19497.7152085166,0,27277.64250903,35526.6620426762,47832.5796034571,0,14650.2417260612,2344.32416528032,0,
