Position in the file,Number of scenarios,Hull White alpha,Hull White sigma,Prod Code Key,Policy id,beginning account value ,RRC TOT rate,Guarantee fees rate,Fixed fees rate,Ongoing commissions rate,Tail commissions rate,EHC (internal) rate,EHC (New-Re) rate,PV Claims WB,PV Claims DB,PV Claims AB,PV Claims IB,PV Claims TOT,PV AV (Internal),PV AV (New-Re),PV RRC TOT Charges,PV Guarantee fees Charges,PV Fixed fees Charges,PV Ongoing commissions Charges,PV Tail commissions Charges,PV Fund fees Charges,PV Retrocessions Charges,PV Expenses Charges,PV Real Charges,PV EHC(internal) Charges,PV EHC(New-Re) Charges,PV Lapse Charges,LOV(Internal),LOV(New-Re),ITM,
24,10000,0.04,0.01,CH_WB01,195001629,163081.725,0.013,0.013,0.03,0,0,0.02214768,0.0268,34606.1179119957,0,0,0,34606.1179119957,11266171.079709,11250501.0543585,12101.3411521855,12101.3411521855,3482.13027121544,0,0,14058.2225060269,10777.970587954,0,15583.471423401,20793.2959915542,25126.1190214008,0,13812.8219204415,9479.99889059495,0,
25,10000,0.04,0.01,CH_WB01,195001632,61865.39415,0.013,0.013,0.03,0,0,0.022380734,0.0282,11026.1549461565,0,0,0,11026.1549461565,4188352.83351382,4182387.5809151,4498.04127297416,4498.04127297416,1286.72217356118,0,0,5226.37584609569,4006.88814867336,0,5784.76344653535,7811.53422208492,9828.61081515048,0,3214.62072407158,1197.54413100602,0,
26,10000,0.04,0.01,CH_WB01,195001633,119597.815,0.013,0.013,0.03,0,0,0.022878256,0.0282,21550.7781386361,0,0,0,21550.7781386361,8054263.09314134,8042976.36087536,8649.42969673937,8649.42969673937,2552.37672174275,0,0,10050.4411837767,7705.33824089548,0,11201.8064184821,15355.6244113533,18900.9944480571,0,6195.15372728285,2649.78369057904,0,
27,10000,0.04,0.01,CH_WB01,195001634,43612.58332,0.013,0.013,0.03,0,0,0.020119169,0.0282,8744.36816460954,0,0,0,8744.36816460954,3656467.25269718,3651650.27421344,3933.43983875527,3933.43983875527,850.480903246564,0,0,4562.35886705725,3497.80846474389,0,4783.92074200183,6130.42354999835,8581.37814440158,0,2613.94461461119,162.990020207963,0,
28,10000,0.04,0.01,CH_WB01,195001635,184525.1009,0.013,0.013,0.03,0,0,0.020563577,0.0286,52803.375882556,0,0,0,52803.375882556,17490295.0204875,17466826.9953141,18830.5033438678,18830.5033438678,4330.4575363648,0,0,21822.9188064406,16730.9044182712,0,23160.9608802326,29971.919033876,41629.2710054986,0,22831.45684868,11174.1048770574,0,
29,10000,0.04,0.01,CH_WB01,195001637,100397.4015,0.013,0.013,0.03,0,0,0.022891907,0.0282,18096.2339449047,0,0,0,18096.2339449047,6761146.43735132,6751671.68897396,7260.76089546583,7260.76089546583,2142.72478015891,0,0,8436.83692768983,6468.2416445622,0,9403.48567562474,12897.9612881023,15866.4284690888,0,5198.27265680241,2229.80547581591,0,
30,10000,0.04,0.01,CH_WB01,195001640,205331.0585,0.013,0.013,0.03,0,0,0.021580952,0.0268,44355.1754305015,0,0,0,44355.1754305015,14755071.6108662,14734785.8010913,15854.1459276065,15854.1459276065,4319.778458881,0,0,18411.5628929236,14115.5315512414,0,20173.9243864875,26535.7076825555,32907.688289104,0,17819.467747946,11447.4871413975,0,
31,10000,0.04,0.01,CH_WB01,195001641,203241.3081,0.013,0.013,0.03,0,0,0.022660182,0.0268,42334.0701203853,0,0,0,42334.0701203853,13511171.0512852,13492118.0323891,14507.9050522288,14507.9050522288,4398.83035235551,0,0,16859.7442469115,12925.8039226321,0,18906.7354045843,25513.7995879378,30132.3969390023,0,16820.2705324475,12201.6731813829,0,
32,10000,0.04,0.01,CH_WB01,195001645,177081.5785,0.013,0.013,0.03,0,0,0.021859937,0.0282,32225.8940311044,0,0,0,32225.8940311044,12522223.9949357,12504659.8880286,13453.1624236804,13453.1624236804,3633.95777049558,0,0,15625.4998147483,11979.5498579737,0,17087.120194176,22811.2523024319,29385.9507368671,0,9414.6417286725,2839.94329423729,0,
33,10000,0.04,0.01,CH_WB01,195001646,258992.0863,0.013,0.013,0.03,0,0,0.020916735,0.0282,50098.7868999905,0,0,0,50098.7868999905,20401335.2696579,20374001.7494817,21936.819595463,21936.819595463,5199.09682624307,0,0,25456.4293106038,19516.5958047963,0,27135.9164217061,35560.7769567989,47878.9041112819,0,14538.0099431915,2219.88278870857,0,
