Position in the file,Number of scenarios,Hull White alpha,Hull White sigma,Prod Code Key,Policy id,beginning account value ,RRC TOT rate,Guarantee fees rate,Fixed fees rate,Ongoing commissions rate,Tail commissions rate,EHC (internal) rate,EHC (New-Re) rate,PV Claims WB,PV Claims DB,PV Claims AB,PV Claims IB,PV Claims TOT,PV AV (Internal),PV AV (New-Re),PV RRC TOT Charges,PV Guarantee fees Charges,PV Fixed fees Charges,PV Ongoing commissions Charges,PV Tail commissions Charges,PV Fund fees Charges,PV Retrocessions Charges,PV Expenses Charges,PV Real Charges,PV EHC(internal) Charges,PV EHC(New-Re) Charges,PV Lapse Charges,LOV(Internal),LOV(New-Re),ITM,
17,10000,0.04,0.01,CH_WB01,195001617,25550.08853,0.013,0.013,0.03,0,0,0.022231647,0.0282,4653.40595939756,0,0,0,4653.40595939756,1797710.95471943,1795204.45958795,1947.52019852954,1947.52019852954,533.428856258679,0,0,2243.21171174421,1719.79564567056,0,2480.94905478822,3330.50627944628,4218.73048003169,0,1322.89967995127,434.675479365867,0,
18,10000,0.04,0.01,CH_WB01,195001619,196854.8136,0.013,0.013,0.03,0,0,0.021924136,0.0282,41920.8373020094,0,0,0,41920.8373020094,15789953.2469304,15767779.484137,17105.7826475432,17105.7826475432,4851.03756624544,0,0,19702.5989023594,15105.3258251422,0,21956.8202137887,28848.4235349453,37054.2817877218,0,13072.4137670641,4866.55551428754,0,
19,10000,0.04,0.01,CH_WB01,195001621,304043.6872,0.013,0.013,0.03,0,0,0.022885016,0.0282,54515.336090402,0,0,0,54515.336090402,20533169.3040405,20504057.0407923,22391.3591735179,22391.3591735179,6495.63033493893,0,0,25621.7065219738,19643.3083335133,0,28886.9895084568,39158.4923378062,48184.534045862,0,15356.8437525958,6330.80204454006,0,
20,10000,0.04,0.01,CH_WB01,195001623,135157.8714,0.013,0.013,0.03,0,0,0.022796164,0.0282,24091.8723606132,0,0,0,24091.8723606132,9111327.05574827,9098453.56806644,9870.60434707294,9870.60434707294,2866.10045808586,0,0,11369.3728267118,8716.51916714571,0,12736.7048051588,17308.6088183729,21381.3658849561,0,6783.26354224028,2710.50647565702,0,
21,10000,0.04,0.01,CH_WB01,195001625,77931.64271,0.013,0.013,0.03,0,0,0.021255789,0.0282,18027.4123550958,0,0,0,18027.4123550958,6913544.96150227,6903701.15388304,7489.67371702708,7489.67371702708,2245.9338131036,0,0,8626.33872268764,6613.52635406052,0,9735.60753013068,12246.0710786421,16223.6977116251,0,5781.34127645367,1803.71464347064,0,
22,10000,0.04,0.01,CH_WB01,195001626,56324.75811,0.013,0.013,0.03,0,0,0.022317162,0.0282,10518.5828598874,0,0,0,10518.5828598874,3959780.2591818,3954257.69657177,4289.76194823501,4289.76194823501,1187.19627090593,0,0,4941.07487761161,3788.1574061689,0,5476.95821914094,7364.25479404685,9292.50558694365,0,3154.32806584058,1226.07727294378,0,
23,10000,0.04,0.01,CH_WB01,195001627,27049.61243,0.013,0.013,0.03,0,0,0.022181343,0.0268,5628.71166310771,0,0,0,5628.71166310771,1814830.55267573,1812228.81083763,1966.06643487813,1966.06643487813,577.351879510059,0,0,2264.58351823129,1736.18069731065,0,2543.41831438819,3354.61491464833,4047.31101087071,0,2274.09674845938,1581.400652237,0,
24,10000,0.04,0.01,CH_WB01,195001629,162807.9465,0.013,0.013,0.03,0,0,0.02214768,0.0268,34547.5982485491,0,0,0,34547.5982485491,11247385.2508698,11231637.89277,12184.6673919414,12184.6673919414,3476.27960028806,0,0,14034.6517637656,10759.8996855536,0,15660.9469922294,20758.6241144153,25083.9912938529,0,13788.9741341338,9463.6069546962,0,
25,10000,0.04,0.01,CH_WB01,195001632,61761.32398,0.013,0.013,0.03,0,0,0.022380734,0.0282,11007.6092901316,0,0,0,11007.6092901316,4181346.34239058,4175351.80738562,4529.7918759119,4529.7918759119,1284.55768205677,0,0,5217.58383526523,4000.14760703668,0,5814.34955796867,7798.46668757637,9812.0767473562,0,3209.14260255524,1195.53254277541,0,
26,10000,0.04,0.01,CH_WB01,195001633,119397.0896,0.013,0.013,0.03,0,0,0.022878256,0.0282,21403.387836308,0,0,0,21403.387836308,8062981.45989351,8051551.166166,8793.33467827391,8793.33467827391,2550.70433752223,0,0,10061.1531129431,7713.55071992303,0,11344.0390157961,15372.2461635581,18921.1452404901,0,6031.1416727499,2482.24259581792,0,
27,10000,0.04,0.01,CH_WB01,195001634,43539.3237,0.013,0.013,0.03,0,0,0.020119169,0.0282,8729.61170862124,0,0,0,8729.61170862124,3650357.28910797,3645520.68136589,3954.55373435685,3954.55373435685,849.051297886619,0,0,4554.70057336374,3491.93710624553,0,4803.60503224346,6120.17960082876,8566.97360120985,0,2609.43210779248,162.638107411391,0,
28,10000,0.04,0.01,CH_WB01,195001635,184214.7076,0.013,0.013,0.03,0,0,0.020563577,0.0286,52714.5509296423,0,0,0,52714.5509296423,17460991.6556418,17437445.8603438,18916.0743401425,18916.0743401425,4323.17313381057,0,0,21786.2102431249,16702.7611863958,0,23239.2474739531,29921.7038672623,41559.2459671527,0,22792.8470623799,11155.3049624896,0,
