Position in the file,Number of scenarios,Hull White alpha,Hull White sigma,Prod Code Key,Policy id,beginning account value ,RRC TOT rate,Guarantee fees rate,Fixed fees rate,Ongoing commissions rate,Tail commissions rate,EHC (internal) rate,EHC (New-Re) rate,PV Claims WB,PV Claims DB,PV Claims AB,PV Claims IB,PV Claims TOT,PV AV (Internal),PV AV (New-Re),PV RRC TOT Charges,PV Guarantee fees Charges,PV Fixed fees Charges,PV Ongoing commissions Charges,PV Tail commissions Charges,PV Fund fees Charges,PV Retrocessions Charges,PV Expenses Charges,PV Real Charges,PV EHC(internal) Charges,PV EHC(New-Re) Charges,PV Lapse Charges,LOV(Internal),LOV(New-Re),ITM,
11,12000,0.04,0.01,CH_WB01,195001605,84936.21678,0.013,0.013,0,0,0,0.022325709,0.0282,14280.517804622,0,0,0,14280.517804622,6088263.19992722,6081559.16160406,6608.3638390881,6608.3638390881,0,0,0,7599.18810260812,5826.04421199956,0,6608.3638390881,11327.066043082,14291.6640297695,0,2953.45176154,-11.1462251475496,0,
12,12000,0.04,0.01,CH_WB01,195001608,107012.8257,0.013,0.013,0,0,0,0.019791837,0.0268,22893.7802361229,0,0,0,22893.7802361229,8956695.50440267,8946890.70515904,9716.18060726677,9716.18060726677,0,0,0,11178.142012968,8569.90887660877,0,9716.18060726677,14772.4547901475,19981.3892415219,0,8121.32544597535,2912.39099460103,0,
13,12000,0.04,0.01,CH_WB01,195001609,238621.8831,0.013,0.013,0,0,0,0.022340696,0.0282,40133.7912639366,0,0,0,40133.7912639366,17104342.7167561,17085508.4833472,18565.5452473248,18565.5452473248,0,0,0,21349.1295166813,16367.665962789,0,18565.5452473248,31843.5767429052,40150.944935866,0,8290.21452103137,-17.1536719294527,0,
14,12000,0.04,0.01,CH_WB01,195001611,383496.227,0.013,0.013,0,0,0,0.022337894,0.0282,64496.4964266015,0,0,0,64496.4964266015,27488900.4459414,27458631.356979,29837.2478664526,29837.2478664526,0,0,0,34310.8240947002,26304.9651392702,0,29837.2478664526,51170.3453614993,64527.7836889008,0,13326.1510651022,-31.2872622992218,0,
15,12000,0.04,0.01,CH_WB01,195001612,107365.5954,0.013,0.013,0,0,0,0.022007649,0.0282,19820.2703895672,0,0,0,19820.2703895672,8388880.73710631,8379230.87564758,9106.66956436607,9106.66956436607,0,0,0,10470.8242818063,8027.63194938481,0,9106.66956436607,15384.9618970914,19691.1925577718,0,4435.30849247582,129.077831795406,0,
16,12000,0.04,0.01,CH_WB01,195001613,53654.3256,0.013,0.013,0,0,0,0.021881828,0.0282,9267.10435645392,0,0,0,9267.10435645392,4003361.42941449,3998953.51406972,4344.62243103463,4344.62243103463,0,0,0,4996.73532470464,3830.83041560689,0,4344.62243103463,7300.0721850235,9397.54075806383,0,1967.03217143042,-130.436401609913,0,
17,12000,0.04,0.01,CH_WB01,195001617,25576.87402,0.013,0.013,0,0,0,0.022231647,0.0282,4281.56541448632,0,0,0,4281.56541448632,1829557.9892687,1827534.17292142,1985.81469087474,1985.81469087474,0,0,0,2283.59365285188,1750.75513385311,0,1985.81469087474,3389.50728195429,4294.70530636534,0,892.058132532025,-13.1398918790173,0,
18,12000,0.04,0.01,CH_WB01,195001619,197061.1349,0.013,0.013,0,0,0,0.021924136,0.0282,38319.1427722913,0,0,0,38319.1427722913,16125557.4607154,16107730.5454692,17503.9271007789,17503.9271007789,0,0,0,20127.2191761474,15430.8680350463,0,17503.9271007789,29461.5762370449,37853.1667818527,0,8857.56653524645,465.97599043863,0,
19,12000,0.04,0.01,CH_WB01,195001621,304361.2402,0.013,0.013,0,0,0,0.022885016,0.0282,50005.8840586321,0,0,0,50005.8840586321,20898694.5420858,20875652.9067988,22688.6774372645,22688.6774372645,0,0,0,26085.8744794202,19999.1704342221,0,22688.6774372645,39855.5799145623,49057.7843309771,0,10150.3041440698,948.099727654961,0,
20,12000,0.04,0.01,CH_WB01,195001623,135299.5187,0.013,0.013,0,0,0,0.022796164,0.0282,22131.0557562061,0,0,0,22131.0557562061,9267598.23727057,9257329.96013164,10061.1928562079,10061.1928562079,0,0,0,11567.8426192767,8868.67934144547,0,10061.1928562079,17605.4741085776,21754.7254063094,0,4525.58164762854,376.330349896751,0,
