TIME,YIELDS
27.08,0.00764259
27.17,0.00764224
27.25,0.00764179
27.33,0.00764127
27.42,0.00764067
27.5,0.00764002
27.58,0.00763934
27.67,0.00763862
27.75,0.00763789
27.83,0.00763715
27.92,0.00763643
28,0.00763573
28.08,0.00763506
28.17,0.00763442
28.25,0.00763382
28.33,0.00763324
28.42,0.00763268
28.5,0.00763214
28.58,0.00763162
28.67,0.00763111
28.75,0.0076306
28.83,0.00763011
28.92,0.00762961
29,0.00762911
29.08,0.0076286
29.17,0.00762809
29.25,0.00762758
29.33,0.00762706
29.42,0.00762655
29.5,0.00762603
29.58,0.00762551
29.67,0.00762499
29.75,0.00762447
29.83,0.00762395
29.92,0.00762344
30,0.00762293
30.08,0.00762243
30.17,0.00762193
30.25,0.00762144
30.33,0.00762095
30.42,0.00762046
30.5,0.00761998
30.58,0.0076195
30.67,0.00761903
30.75,0.00761855
30.83,0.00761808
30.92,0.00761762
31,0.00761715
31.08,0.00761669
31.17,0.00761623
31.25,0.00761577
31.33,0.00761531
31.42,0.00761486
31.5,0.0076144
31.58,0.00761395
31.67,0.00761351
31.75,0.00761306
31.83,0.00761262
31.92,0.00761217
32,0.00761173
32.08,0.0076113
32.17,0.00761086
32.25,0.00761043
32.33,0.00761
32.42,0.00760957
32.5,0.00760915
32.58,0.00760873
32.67,0.00760831
32.75,0.00760789
32.83,0.00760747
32.92,0.00760706
33,0.00760665
33.08,0.00760623
33.17,0.00760583
33.25,0.00760542
33.33,0.00760502
33.42,0.00760461
33.5,0.00760421
33.58,0.00760382
33.67,0.00760342
33.75,0.00760303
33.83,0.00760263
33.92,0.00760224
34,0.00760186
34.08,0.00760147
34.17,0.00760108
34.25,0.0076007
34.33,0.00760032
34.42,0.00759994
34.5,0.00759956
34.58,0.00759919
34.67,0.00759882
34.75,0.00759844
34.83,0.00759807
34.92,0.00759771
35,0.00759734
35.08,0.00759697
35.17,0.00759661
35.25,0.00759625
35.33,0.00759589
35.42,0.00759553
35.5,0.00759518
35.58,0.00759482
35.67,0.00759447
35.75,0.00759412
35.83,0.00759377
35.92,0.00759342
36,0.00759307
36.08,0.00759273
36.17,0.00759239
36.25,0.00759204
36.33,0.0075917
36.42,0.00759137
36.5,0.00759103
36.58,0.00759069
36.67,0.00759036
36.75,0.00759003
36.83,0.0075897
36.92,0.00758937
37,0.00758904
37.08,0.00758871
37.17,0.00758839
37.25,0.00758806
37.33,0.00758774
37.42,0.00758742
37.5,0.0075871
37.58,0.00758678
37.67,0.00758647
37.75,0.00758615
37.83,0.00758584
37.92,0.00758553
38,0.00758522
38.08,0.00758491
38.17,0.0075846
38.25,0.00758429
38.33,0.00758399
38.42,0.00758368
38.5,0.00758338
38.58,0.00758308
38.67,0.00758278
38.75,0.00758248
38.83,0.00758218
38.92,0.00758189
39,0.00758159
39.08,0.0075813
39.17,0.007581
39.25,0.00758071
39.33,0.00758042
39.42,0.00758013
39.5,0.00757985
39.58,0.00757956
39.67,0.00757927
39.75,0.00757899
39.83,0.00757871
39.92,0.00757843
40,0.00757815
40.08,0.00757787
40.17,0.00757759
40.25,0.00757731
40.33,0.00757704
40.42,0.00757676
40.5,0.00757649
40.58,0.00757621
40.67,0.00757594
40.75,0.00757567
40.83,0.0075754
40.92,0.00757514
41,0.00757487
41.08,0.0075746
41.17,0.00757434
41.25,0.00757407
41.33,0.00757381
41.42,0.00757355
41.5,0.00757329
41.58,0.00757303
41.67,0.00757277
41.75,0.00757251
41.83,0.00757226
41.92,0.007572
42,0.00757175
42.08,0.00757149
42.17,0.00757124
42.25,0.00757099
42.33,0.00757074
42.42,0.00757049
42.5,0.00757024
42.58,0.00756999
42.67,0.00756975
42.75,0.0075695
42.83,0.00756926
42.92,0.00756901
43,0.00756877
43.08,0.00756853
43.17,0.00756829
43.25,0.00756805
43.33,0.00756781
43.42,0.00756757
43.5,0.00756734
43.58,0.0075671
43.67,0.00756686
43.75,0.00756663
43.83,0.0075664
43.92,0.00756616
44,0.00756593
44.08,0.0075657
44.17,0.00756547
44.25,0.00756524
44.33,0.00756501
44.42,0.00756479
44.5,0.00756456
44.58,0.00756433
44.67,0.00756411
44.75,0.00756388
44.83,0.00756366
44.92,0.00756344
45,0.00756322
45.08,0.007563
45.17,0.00756278
45.25,0.00756256
45.33,0.00756234
45.42,0.00756212
45.5,0.00756191
45.58,0.00756169
45.67,0.00756147
45.75,0.00756126
45.83,0.00756105
45.92,0.00756083
46,0.00756062
46.08,0.00756041
46.17,0.0075602
46.25,0.00755999
46.33,0.00755978
46.42,0.00755957
46.5,0.00755937
46.58,0.00755916
46.67,0.00755895
46.75,0.00755875
46.83,0.00755854
46.92,0.00755834
47,0.00755814
47.08,0.00755793
47.17,0.00755773
47.25,0.00755753
