Position in the file,Number of scenarios,Hull White alpha,Hull White sigma,Prod Code Key,Policy id,beginning account value ,RRC TOT rate,Guarantee fees rate,Fixed fees rate,Ongoing commissions rate,Tail commissions rate,EHC (internal) rate,EHC (New-Re) rate,PV Claims WB,PV Claims DB,PV Claims AB,PV Claims IB,PV Claims TOT,PV AV (Internal),PV AV (New-Re),PV RRC TOT Charges,PV Guarantee fees Charges,PV Fixed fees Charges,PV Ongoing commissions Charges,PV Tail commissions Charges,PV Fund fees Charges,PV Retrocessions Charges,PV Expenses Charges,PV Real Charges,PV EHC(internal) Charges,PV EHC(New-Re) Charges,PV Lapse Charges,LOV(Internal),LOV(New-Re),ITM,
17,10000,0.04,0.01,CH_WB01,195003088,208036.1961,0.013,0.013,0.03,0,0,0.0293989265870132,0,38633.6553739539,0,0,0,38633.6553739539,15769414.6796584,15749073.2436196,16170.8946779672,16170.8946779672,4170.54136380396,0,0,19680.5239518368,15088.4016964082,0,20341.4360417712,38633.6553739539,0,0,0,38633.6553739539,0,
18,10000,0.04,0.01,CH_WB01,195003089,31413.62539,0.013,0.013,0.03,0,0,0.0288977477076964,0,5963.90537952166,0,0,0,5963.90537952166,2476555.10312312,2473378.77639872,2545.11596755006,2545.11596755006,631.210756380903,0,0,3090.78562675973,2369.60231384913,0,3176.32672393097,5963.90537952166,0,0,-9.09494701772928e-013,5963.90537952166,0,
19,10000,0.04,0.01,CH_WB01,195003091,52946.35109,0.013,0.013,0.03,0,0,0.0289053433899339,0,10054.2154912942,0,0,0,10054.2154912942,4173989.01884506,4168635.52055558,4289.54946374887,4289.54946374887,1063.94882542066,0,0,5209.2138413856,3993.73061172896,0,5353.49828916954,10054.2154912942,0,0,0,10054.2154912942,0,
20,10000,0.04,0.01,CH_WB01,195003092,209665.8599,0.013,0.013,0.03,0,0,0.028905351352749,0,39814.3819305562,0,0,0,39814.3819305562,16528862.677922,16507662.9829163,16986.4913344185,16986.4913344185,4213.20366937549,0,0,20628.3197648159,15815.0451530256,0,21199.695003794,39814.3819305562,0,0,0,39814.3819305562,0,
21,10000,0.04,0.01,CH_WB01,195003093,114347.8418,0.013,0.013,0.03,0,0,0.0290306791823521,0,31397.590411668,0,0,0,31397.590411668,12978376.5158707,12959891.6888551,13558.2660921915,13558.2660921915,4926.56092060021,0,0,16193.0093281554,12414.6404849192,0,18484.8270127917,31397.590411668,0,0,0,31397.590411668,0,
22,10000,0.04,0.01,CH_WB01,195003094,19060.53773,0.013,0.013,0.03,0,0,0.0293184905384677,0,3555.56151874802,0,0,0,3555.56151874802,1455284.27423625,1453408.14001072,1492.93690042199,1492.93690042199,383.197324859442,0,0,1816.22078096529,1392.43593207339,0,1876.13422528143,3555.56151874802,0,0,-4.54747350886464e-013,3555.56151874802,0,
23,10000,0.04,0.01,CH_WB01,195003095,148672.1656,0.013,0.013,0.03,0,0,0.0294049551158866,0,27614.2403014934,0,0,0,27614.2403014934,11269219.1609193,11254682.5720473,11556.1051576618,11556.1051576618,2980.48371757212,0,0,14064.1960005523,10782.5502670901,0,14536.588875234,27614.2403014934,0,0,0,27614.2403014934,0,
24,10000,0.04,0.01,CH_WB01,195003096,285906.7977,0.013,0.013,0.03,0,0,0.0283078006806945,0,70770.5571186483,0,0,0,70770.5571186483,30000447.4032824,29962339.2835242,31246.2369868923,31246.2369868923,6861.88277504222,0,0,37438.3700271839,28702.7503541743,0,38108.1197619345,70770.5571186483,0,0,0,70770.5571186483,0,
25,10000,0.04,0.01,CH_WB01,195003097,288801.5601,0.013,0.013,0.03,0,0,0.0276016410249228,0,60111.7946832211,0,0,0,60111.7946832211,26134009.0448723,26101348.2658066,27044.8956569427,27044.8956569427,5615.88340633815,0,0,32614.8562480399,25004.7231234973,0,32660.7790632808,60111.7946832211,0,0,0,60111.7946832211,0,
26,10000,0.04,0.01,CH_WB01,195003098,115509.6927,0.013,0.013,0.03,0,0,0.0294016988257037,0,21452.6289113068,0,0,0,21452.6289113068,8755669.13537079,8744374.90513993,8978.57744248508,8978.57744248508,2315.65279000816,0,0,10927.2385856113,8377.54958230198,0,11294.2302324932,21452.6289113068,0,0,0,21452.6289113068,0,
27,10000,0.04,0.01,CH_WB01,195003102,192513.2982,0.013,0.013,0.03,0,0,0.0293932281002303,0,35744.9977382105,0,0,0,35744.9977382105,14593156.3350528,14574332.2999958,14964.7127713094,14964.7127713094,3859.3222891191,0,0,18212.5314808362,13962.9408019745,0,18824.0350604285,35744.9977382105,0,0,0,35744.9977382105,0,
28,10000,0.04,0.01,CH_WB01,195003103,95303.24008,0.013,0.013,0.03,0,0,0.0289524668619368,0,17977.8702281341,0,0,0,17977.8702281341,7451331.99759328,7441796.93992198,7654.19158405849,7654.19158405849,1880.86608804509,0,0,9299.36007060986,7129.50938746756,0,9535.05767210358,17977.8702281341,0,0,0,17977.8702281341,0,
29,10000,0.04,0.01,CH_WB01,195003104,95302.6666,0.013,0.013,0.03,0,0,0.0293839062285869,0,17690.5444690217,0,0,0,17690.5444690217,7224585.18540097,7215266.11763261,7408.55268418417,7408.55268418417,1910.51508483987,0,0,9016.41707173435,6912.586421663,0,9319.06776902403,17690.5444690217,0,0,0,17690.5444690217,0,
30,10000,0.04,0.01,CH_WB01,195003105,47652.52988,0.013,0.013,0.03,0,0,0.0270155999442547,0,9618.94898804797,0,0,0,9618.94898804797,4272619.82316713,4267303.77580839,4419.63326176489,4419.63326176489,896.414096596846,0,0,5332.16588757345,4087.99384713964,0,5316.04735836173,9618.94898804797,0,0,0,9618.94898804797,0,
31,10000,0.04,0.01,CH_WB01,195003106,93099.70346,0.013,0.013,0.03,0,0,0.0270152059275108,0,18792.4963192212,0,0,0,18792.4963192212,8347519.40946736,8337133.33337878,8634.74114192571,8634.74114192571,1751.3349485606,0,0,10417.5798706789,7986.81123418719,0,10386.0760904863,18792.4963192212,0,0,0,18792.4963192212,0,
32,10000,0.04,0.01,CH_WB01,195003108,381193.2636,0.013,0.013,0.03,0,0,0.0290755401818978,0,90443.7358376334,0,0,0,90443.7358376334,37327761.5226325,37278137.7619701,38766.1447995191,38766.1447995191,10857.6158658565,0,0,46581.8413157718,35712.7450087584,0,49623.7606653756,90443.7358376334,0,0,-1.45519152283669e-011,90443.7358376334,0,
33,10000,0.04,0.01,CH_WB01,195003109,285915.2344,0.013,0.013,0.03,0,0,0.0273882100822592,0,56726.6111137951,0,0,0,56726.6111137951,24854465.8932085,24823476.9070038,25671.3869843149,25671.3869843149,5317.59922439464,0,0,31018.1130800444,23780.5533613674,0,30988.9862087096,56726.6111137951,0,0,0,56726.6111137951,0,
34,10000,0.04,0.01,CH_WB01,195003110,49145.92701,0.013,0.013,0.03,0,0,0.0289047020958045,0,9332.35581721419,0,0,0,9332.35581721419,3874396.26381153,3869427.02210189,3981.6672716293,3981.6672716293,987.574438167121,0,0,4835.31665818479,3707.07610460834,0,4969.24170979642,9332.35581721419,0,0,0,9332.35581721419,0,
35,10000,0.04,0.01,CH_WB01,195003111,59354.524,0.013,0.013,0.03,0,0,0.0281377262679263,0,11510.6980289447,0,0,0,11510.6980289447,4909009.88345981,4902815.47173621,5057.71456957921,5057.71456957921,1136.69715338107,0,0,6126.45061067124,4696.94546818128,0,6194.41172296028,11510.6980289447,0,0,-1.81898940354586e-012,11510.6980289447,0,
36,10000,0.04,0.01,CH_WB01,195003113,66711.86552,0.013,0.013,0.03,0,0,0.0293749001850637,0,12380.1195117146,0,0,0,12380.1195117146,5057427.70884765,5050904.13339673,5186.22483125298,5186.22483125298,1337.35061901366,0,0,6311.76405567467,4839.01910935058,0,6523.57545026664,12380.1195117146,0,0,-1.81898940354586e-012,12380.1195117146,0,
37,10000,0.04,0.01,CH_WB01,195003116,68363.45374,0.013,0.013,0.03,0,0,0.028903579254234,0,12981.1464796274,0,0,0,12981.1464796274,5389427.94542342,5382515.56163507,5538.65148837719,5538.65148837719,1373.73230167381,0,0,6726.10361887534,5156.67944113776,0,6912.383790051,12981.1464796274,0,0,0,12981.1464796274,0,
38,10000,0.04,0.01,CH_WB01,195003117,770119.5175,0.013,0.013,0.03,0,0,0.0283655305118317,0,190196.587075312,0,0,0,190196.587075312,80462413.489913,80360232.4460449,83789.1660741094,83789.1660741094,18391.8777892772,0,0,100411.449913847,76982.1116006159,0,102181.043863387,190196.587075312,0,0,-2.91038304567337e-011,190196.587075312,0,
39,10000,0.04,0.01,CH_WB01,195003118,76241.82007,0.013,0.013,0.03,0,0,0.0283668009704059,0,18830.2215346237,0,0,0,18830.2215346237,7965743.4284262,7955627.53738093,8295.08197746101,8295.08197746101,1820.8090665582,0,0,9940.68924293054,7621.19508624675,0,10115.8910440192,18830.2215346237,0,0,0,18830.2215346237,0,
40,10000,0.04,0.01,CH_WB01,195003119,385043.3154,0.013,0.013,0.03,0,0,0.0293749606052278,0,89724.6690574097,0,0,0,89724.6690574097,36653530.9837079,36604967.867892,38018.8290098496,38018.8290098496,10544.2868161928,0,0,45741.2666444538,35068.3044274146,0,48563.1158260424,89724.6690574097,0,0,0,89724.6690574097,0,
41,10000,0.04,0.01,CH_WB01,195003120,144119.5619,0.013,0.013,0.03,0,0,0.0293123362457204,0,26879.2560597654,0,0,0,26879.2560597654,11003936.0224751,10989750.0752046,11288.6831201767,11288.6831201767,2897.26414894799,0,0,13733.1088541464,10528.7167881789,0,14185.9472691247,26879.2560597654,0,0,0,26879.2560597654,0,
42,10000,0.04,0.01,CH_WB01,195003124,166695.815,0.013,0.013,0.03,0,0,0.0294049484982537,0,30961.9314483982,0,0,0,30961.9314483982,12635396.297424,12619097.4338521,12957.0533888782,12957.0533888782,3341.81018676866,0,0,15769.2105948797,12089.7281227411,0,16298.8635756469,30961.9314483982,0,0,0,30961.9314483982,0,
43,10000,0.04,0.01,CH_WB01,195003125,95301.22188,0.013,0.013,0.03,0,0,0.0293395773543965,0,19499.4898547384,0,0,0,19499.4898547384,7975366.36027228,7965007.63098591,8221.89767696168,8221.89767696168,2136.83160876757,0,0,9953.26892610048,7630.83951001037,0,10358.7292857292,19499.4898547384,0,0,0,19499.4898547384,0,
44,10000,0.04,0.01,CH_WB01,195003128,144127.2597,0.013,0.013,0.03,0,0,0.0290750832273858,0,34195.8339637292,0,0,0,34195.8339637292,14113459.4303841,14094696.9259466,14657.3139912441,14657.3139912441,4105.19044558183,0,0,17612.3855531348,13502.82892407,0,18762.5044368259,34195.8339637292,0,0,0,34195.8339637292,0,
45,10000,0.04,0.01,CH_WB01,195003131,333544.1195,0.013,0.013,0.03,0,0,0.029370823762442,0,77714.0961524608,0,0,0,77714.0961524608,31751549.1350316,31709481.1611498,32934.2797187775,32934.2797187775,9133.69416592955,0,0,39623.9064161096,30378.3282523507,0,42067.973884707,77714.0961524608,0,0,0,77714.0961524608,0,
46,10000,0.04,0.01,CH_WB01,195003132,64722.15817,0.013,0.013,0.03,0,0,0.0289049299249085,0,12290.2220690346,0,0,0,12290.2220690346,5102336.01020856,5095791.84244357,5243.59052439444,5243.59052439444,1300.57724174142,0,0,6367.80770215422,4881.9859049849,0,6544.16776613586,12290.2220690346,0,0,0,12290.2220690346,0,
47,10000,0.04,0.01,CH_WB01,195003136,96260.83437,0.013,0.013,0.03,0,0,0.0293610683721551,0,22421.4965119562,0,0,0,22421.4965119562,9163765.93430227,9151625.03606381,9505.12160049356,9505.12160049356,2635.77663843494,0,0,11435.7950290199,8767.44285558193,0,12140.8982389285,22421.4965119562,0,0,0,22421.4965119562,0,
