Position in the file,Number of scenarios,Hull White alpha,Hull White sigma,Prod Code Key,Policy id,beginning account value ,RRC TOT rate,Guarantee fees rate,Fixed fees rate,Ongoing commissions rate,Tail commissions rate,EHC (internal) rate,EHC (New-Re) rate,PV Claims WB,PV Claims DB,PV Claims AB,PV Claims IB,PV Claims TOT,PV AV (Internal),PV AV (New-Re),PV RRC TOT Charges,PV Guarantee fees Charges,PV Fixed fees Charges,PV Ongoing commissions Charges,PV Tail commissions Charges,PV Fund fees Charges,PV Retrocessions Charges,PV Expenses Charges,PV Real Charges,PV EHC(internal) Charges,PV EHC(New-Re) Charges,PV Lapse Charges,LOV(Internal),LOV(New-Re),ITM,
1,10000,0.04,0.01,CH_WB01,195003044,311639.7263,0.013,0.013,0.03,0,0,0.0277533002380681,0,58586.0843604304,0,0,0,58586.0843604304,25331510.353527,25298213.6247949,26075.3307496548,26075.3307496548,6370.20969215095,0,0,31606.065975364,24231.3172477791,0,32445.5404418058,58586.0843604304,0,0,0,58586.0843604304,0,
2,10000,0.04,0.01,CH_WB01,195003056,209662.6727,0.013,0.013,0.03,0,0,0.0281018482447548,0,42643.1555289004,0,0,0,42643.1555289004,18209402.5236335,18185536.6412335,18807.0863672673,18807.0863672673,4746.2024676672,0,0,22719.5929355356,17418.3545839107,0,23553.2888349345,42643.1555289004,0,0,0,42643.1555289004,0,
3,10000,0.04,0.01,CH_WB01,195003057,476525.4091,0.013,0.013,0.03,0,0,0.025862496966274,0,92979.8861683162,0,0,0,92979.8861683162,43141953.2102721,43087943.1238321,44646.624544456,44646.624544456,8911.28642622307,0,0,53824.4305249889,41265.3967358248,0,53557.9109706791,92979.8861683162,0,0,0,92979.8861683162,0,
4,10000,0.04,0.01,CH_WB01,195003060,95298.32142,0.013,0.013,0.03,0,0,0.0278383034149466,0,21771.8275864592,0,0,0,21771.8275864592,9384980.36835235,9372435.7246258,9748.99097904684,9748.99097904684,2633.49453126402,0,0,11708.7735945388,8976.72642247972,0,12382.4855103109,21771.8275864592,0,0,0,21771.8275864592,0,
5,10000,0.04,0.01,CH_WB01,195003063,190605.3332,0.013,0.013,0.03,0,0,0.0282350951548401,0,35007.8138497146,0,0,0,35007.8138497146,14878425.7284347,14859117.086595,15282.1290058039,15282.1290058039,3839.12332033891,0,0,18563.9608724021,14232.370002175,0,19121.2523261428,35007.8138497146,0,0,0,35007.8138497146,0,
6,10000,0.04,0.01,CH_WB01,195003066,28579.01174,0.013,0.013,0.03,0,0,0.0263061326017822,0,9664.60087795542,0,0,0,9664.60087795542,4408675.81301585,4400403.93462535,4650.69872409967,4650.69872409967,3279.57956714885,0,0,5495.60977625973,4213.30082846579,0,7930.27829124852,9664.60087795542,0,0,0,9664.60087795542,0,
7,10000,0.04,0.01,CH_WB01,195003069,142953.3989,0.013,0.013,0.03,0,0,0.0264393789882173,0,34445.7016868166,0,0,0,34445.7016868166,15633817.2854214,15613849.4163862,16309.5114925425,16309.5114925425,3446.99062984058,0,0,19503.7111326929,14952.8452017312,0,19756.502122383,34445.7016868166,0,0,0,34445.7016868166,0,
8,10000,0.04,0.01,CH_WB01,195003070,51020.2775,0.013,0.013,0.03,0,0,0.0277512490572145,0,9590.83460805415,0,0,0,9590.83460805415,4147201.26864812,4141750.02202118,4268.98568686815,4268.98568686815,1042.89301167872,0,0,5174.45327051098,3967.08084072509,0,5311.87869854687,9590.83460805415,0,0,0,9590.83460805415,0,
9,10000,0.04,0.01,CH_WB01,195003072,107635.0871,0.013,0.013,0.03,0,0,0.0280814117300959,0,22764.7487023768,0,0,0,22764.7487023768,9728036.00667081,9715236.33986771,10066.5244030561,10066.5244030561,2586.45640983739,0,0,12137.3532254214,9305.30413948977,0,12652.9808128935,22764.7487023768,0,0,3.63797880709171e-012,22764.7487023768,0,
10,10000,0.04,0.01,CH_WB01,195003073,371680.4031,0.013,0.013,0.03,0,0,0.0282397536173494,0,68275.0296184776,0,0,0,68275.0296184776,29012305.3665166,28974654.1354946,29799.469380384,29799.469380384,7486.44753477609,0,0,36198.9441878066,27752.5238773184,0,37285.9169151601,68275.0296184776,0,0,0,68275.0296184776,0,
11,10000,0.04,0.01,CH_WB01,195003074,78633.48984,0.013,0.013,0.03,0,0,0.0277467446871775,0,14780.4823016146,0,0,0,14780.4823016146,6392309.78693296,6383905.57690401,6580.04318917801,6580.04318917801,1607.30984044601,0,0,7975.66844076471,6114.67913791961,0,8187.35302962402,14780.4823016146,0,0,0,14780.4823016146,0,
12,10000,0.04,0.01,CH_WB01,195003075,288785.7896,0.013,0.013,0.03,0,0,0.0279781532490259,0,63589.1409481452,0,0,0,63589.1409481452,27273769.0935448,27237631.6162989,28279.698209668,28279.698209668,7424.05138754901,0,0,34027.8675630082,26088.0317983063,0,35703.749597217,63589.1409481452,0,0,0,63589.1409481452,0,
13,10000,0.04,0.01,CH_WB01,195003077,110703.8002,0.013,0.013,0.03,0,0,0.0281854524648029,0,22434.6924659179,0,0,0,22434.6924659179,9551605.03196477,9539109.65686297,9861.92485962746,9861.92485962746,2498.67646837822,0,0,11917.4209504108,9136.68939531493,0,12360.6013280057,22434.6924659179,0,0,3.63797880709171e-012,22434.6924659179,0,
14,10000,0.04,0.01,CH_WB01,195003078,24654.05519,0.013,0.013,0.03,0,0,0.0281254838966613,0,4544.79597345826,0,0,0,4544.79597345826,1939079.58639507,1936559.01342663,1992.50763276173,1992.50763276173,497.906352359391,0,0,2419.40471557297,1854.87694860594,0,2490.41398512112,4544.79597345826,0,0,0,4544.79597345826,0,
15,10000,0.04,0.01,CH_WB01,195003082,57759.1364,0.013,0.013,0.03,0,0,0.0282282196362812,0,10606.1723582069,0,0,0,10606.1723582069,4508752.94079473,4502901.69306033,4631.10726669423,4631.10726669423,1163.33394581498,0,0,5625.61620157876,4312.97242121038,0,5794.44121250921,10606.1723582069,0,0,0,10606.1723582069,0,
16,10000,0.04,0.01,CH_WB01,195003083,531920.0717,0.013,0.013,0.03,0,0,0.026439310798778,0,128169.861515052,0,0,0,128169.861515052,58172406.6064426,58098107.4998814,60686.6063844766,60686.6063844766,12826.0156226718,0,0,72572.0272839931,55638.5542510614,0,73512.6220071484,128169.861515052,0,0,0,128169.861515052,0,
17,10000,0.04,0.01,CH_WB01,195003088,208036.1961,0.013,0.013,0.03,0,0,0.0282344153519985,0,38208.4795578611,0,0,0,38208.4795578611,16239109.2210762,16218034.7582192,16679.7304311699,16679.7304311699,4190.19833537346,0,0,20261.6993029658,15533.9694656071,0,20869.9287665434,38208.4795578611,0,0,0,38208.4795578611,0,
18,10000,0.04,0.01,CH_WB01,195003089,31413.62539,0.013,0.013,0.03,0,0,0.0277467293977442,0,5904.31902570957,0,0,0,5904.31902570957,2553519.99483857,2550163.5633267,2628.49460024177,2628.49460024177,642.105163954201,0,0,3186.02090270762,2442.61602540918,0,3270.59976419597,5904.31902570957,0,0,0,5904.31902570957,0,
19,10000,0.04,0.01,CH_WB01,195003091,52946.35109,0.013,0.013,0.03,0,0,0.0277532991403734,0,9953.54257570067,0,0,0,9953.54257570067,4303722.96656624,4298065.98516867,4430.09457377991,4430.09457377991,1082.27330714176,0,0,5369.74503845773,4116.80452948426,0,5512.36788092167,9953.54257570067,0,0,0,9953.54257570067,0,
20,10000,0.04,0.01,CH_WB01,195003092,209665.8599,0.013,0.013,0.03,0,0,0.0277533060341804,0,39415.719394424,0,0,0,39415.719394424,17042605.0197611,17020203.5416631,17543.0455380763,17543.0455380763,4285.76787489592,0,0,21264.0182438457,16302.4139869484,0,21828.8134129722,39415.719394424,0,0,0,39415.719394424,0,
21,10000,0.04,0.01,CH_WB01,195003093,114347.8418,0.013,0.013,0.03,0,0,0.0265517949807458,0,29889.2126339243,0,0,0,29889.2126339243,13508335.3824923,13488836.6458405,14132.3881976996,14132.3881976996,4995.26115845921,0,0,16849.5156864342,12917.9620262662,0,19127.6493561588,29889.2126339243,0,0,0,29889.2126339243,0,
22,10000,0.04,0.01,CH_WB01,195003094,19060.53773,0.013,0.013,0.03,0,0,0.0281487032445378,0,3516.19581808981,0,0,0,3516.19581808981,1498980.23544887,1497031.69644714,1540.2741917358,1540.2741917358,384.978482896803,0,0,1870.28934189771,1433.88849545491,0,1925.2526746326,3516.19581808981,0,0,0,3516.19581808981,0,
23,10000,0.04,0.01,CH_WB01,195003095,148672.1656,0.013,0.013,0.03,0,0,0.0282397502051638,0,27310.0097732974,0,0,0,27310.0097732974,11604922.667469,11589862.1787785,11919.7839564232,11919.7839564232,2994.57905633074,0,0,14479.5783304097,11101.0100533141,0,14914.363012754,27310.0097732974,0,0,-3.63797880709171e-012,27310.0097732974,0,
24,10000,0.04,0.01,CH_WB01,195003096,285906.7977,0.013,0.013,0.03,0,0,0.0263647486726924,0,69014.2076934292,0,0,0,69014.2076934292,31412038.1954916,31371871.825662,32775.4603451171,32775.4603451171,6910.23312721185,0,0,39187.4557428231,30043.7160694977,0,39685.693472329,69014.2076934292,0,0,0,69014.2076934292,0,
25,10000,0.04,0.01,CH_WB01,195003097,288801.5601,0.013,0.013,0.03,0,0,0.0260626829536439,0,59146.9348406604,0,0,0,59146.9348406604,27232929.9078816,27198746.3688963,28235.3932585313,28235.3932585313,5651.16580212575,0,0,33975.9738665127,26048.2466309931,0,33886.5590606571,59146.9348406604,0,0,0,59146.9348406604,0,
26,10000,0.04,0.01,CH_WB01,195003098,115509.6927,0.013,0.013,0.03,0,0,0.0282368699487285,0,21216.420037414,0,0,0,21216.420037414,9016475.30024597,9004774.04805569,9261.1174544327,9261.1174544327,2326.58517878253,0,0,11249.9465913123,8624.95905333939,0,11587.7026332152,21216.420037414,0,0,0,21216.420037414,0,
