Position in the file,Number of scenarios,Hull White alpha,Hull White sigma,Prod Code Key,Policy id,beginning account value ,RRC TOT rate,Guarantee fees rate,Fixed fees rate,Ongoing commissions rate,Tail commissions rate,EHC (internal) rate,EHC (New-Re) rate,PV Claims WB,PV Claims DB,PV Claims AB,PV Claims IB,PV Claims TOT,PV AV (Internal),PV AV (New-Re),PV RRC TOT Charges,PV Guarantee fees Charges,PV Fixed fees Charges,PV Ongoing commissions Charges,PV Tail commissions Charges,PV Fund fees Charges,PV Retrocessions Charges,PV Expenses Charges,PV Real Charges,PV EHC(internal) Charges,PV EHC(New-Re) Charges,PV Lapse Charges,LOV(Internal),LOV(New-Re),ITM,
11,10000,0.04,0.01,CH_WB01,195003074,78633.48984,0.013,0.013,0.03,0,0,0.0289405288872058,0,14951.1756182413,0,0,0,14951.1756182413,6199406.65625541,6191455.28466178,6371.06479760966,6371.06479760966,1580.30679462142,0,0,7736.98247110243,5931.68656117853,0,7951.37159223107,14951.1756182413,0,0,0,14951.1756182413,0,
12,10000,0.04,0.01,CH_WB01,195003075,288785.7896,0.013,0.013,0.03,0,0,0.0293856726474145,0,64647.8881459477,0,0,0,64647.8881459477,26399758.3808799,26365059.3101142,27332.8532709491,27332.8532709491,7366.21749914558,0,0,32945.9933434805,25258.5948966684,0,34699.0707700946,64647.8881459477,0,0,0,64647.8881459477,0,
13,10000,0.04,0.01,CH_WB01,195003077,110703.8002,0.013,0.013,0.03,0,0,0.0293701038880796,0,22676.194875745,0,0,0,22676.194875745,9265011.09924173,9252977.18959012,9551.44809917776,9551.44809917776,2482.46155401237,0,0,11562.763313422,8864.78520695689,0,12033.9096531901,22676.194875745,0,0,0,22676.194875745,0,
14,10000,0.04,0.01,CH_WB01,195003078,24654.05519,0.013,0.013,0.03,0,0,0.0293270581510857,0,4601.13871504285,0,0,0,4601.13871504285,1882686.7766984,1880259.75688475,1931.41542225683,1931.41542225683,495.604391174607,0,0,2349.62997435199,1801.38298033652,0,2427.01981343144,4601.13871504285,0,0,0,4601.13871504285,0,
15,10000,0.04,0.01,CH_WB01,195003082,57759.1364,0.013,0.013,0.03,0,0,0.0294269994387881,0,10737.4006407855,0,0,0,10737.4006407855,4378591.43462613,4372943.28505438,4490.09896834518,4490.09896834518,1158.0506030854,0,0,5464.57114355363,4189.50454339112,0,5648.14957143058,10737.4006407855,0,0,0,10737.4006407855,0,
16,10000,0.04,0.01,CH_WB01,195003083,531920.0717,0.013,0.013,0.03,0,0,0.0284186209993794,0,131625.284992367,0,0,0,131625.284992367,55579875.6013848,55509291.394503,57878.0311289994,57878.0311289994,12706.1757683107,0,0,69359.9344330271,53175.9497319874,0,70584.2068973101,131625.284992367,0,0,0,131625.284992367,0,
17,10000,0.04,0.01,CH_WB01,195003088,208036.1961,0.013,0.013,0.03,0,0,0.0294340110028419,0,38681.7664375433,0,0,0,38681.7664375433,15770232.5111485,15749889.6337199,16171.7806620813,16171.7806620813,4171.09676841568,0,0,19681.5710018924,15089.2044347842,0,20342.877430497,38681.7664375433,0,0,0,38681.7664375433,0,
18,10000,0.04,0.01,CH_WB01,195003089,31413.62539,0.013,0.013,0.03,0,0,0.0289348206318635,0,5971.8817398382,0,0,0,5971.8817398382,2476689.99887085,2473513.44429271,2545.26210461015,2545.26210461015,631.29247312927,0,0,3090.95827251374,2369.73467559387,0,3176.55457773942,5971.8817398382,0,0,9.09494701772928e-013,5971.8817398382,0,
19,10000,0.04,0.01,CH_WB01,195003091,52946.35109,0.013,0.013,0.03,0,0,0.0289424227417279,0,10067.6611866601,0,0,0,10067.6611866601,4174216.3507874,4168862.46848147,4289.79574001975,4289.79574001975,1064.08656562765,0,0,5209.50479143605,3993.95367343431,0,5353.8823056474,10067.6611866601,0,0,0,10067.6611866601,0,
20,10000,0.04,0.01,CH_WB01,195003092,209665.8599,0.013,0.013,0.03,0,0,0.0289424307112797,0,39867.6264627396,0,0,0,39867.6264627396,16529762.9050356,16508561.6893357,16987.4665804573,16987.4665804573,4213.7491162402,0,0,20629.4719175722,15815.9284701387,0,21201.2156966975,39867.6264627396,0,0,0,39867.6264627396,0,
21,10000,0.04,0.01,CH_WB01,195003093,114347.8418,0.013,0.013,0.03,0,0,0.0290700336151339,0,31442.9321626317,0,0,0,31442.9321626317,12979523.5515362,12961036.6787281,13559.5087141636,13559.5087141636,4927.3640919344,0,0,16194.4731973973,12415.7627846713,0,18486.872806098,31442.9321626317,0,0,3.63797880709171e-012,31442.9321626317,0,
22,10000,0.04,0.01,CH_WB01,195003094,19060.53773,0.013,0.013,0.03,0,0,0.0293539584249657,0,3560.048897939,0,0,0,3560.048897939,1455360.33528391,1453484.06900893,1493.01929989053,1493.01929989053,383.246974839619,0,0,1816.31815627686,1392.51058647892,0,1876.26627473015,3560.048897939,0,0,0,3560.048897939,0,
23,10000,0.04,0.01,CH_WB01,195003095,148672.1656,0.013,0.013,0.03,0,0,0.0294400439403617,0,27648.6259812861,0,0,0,27648.6259812861,11269803.5521803,11255265.9338643,11556.7382481942,11556.7382481942,2980.88007040475,0,0,14064.9441840201,10783.1238744154,0,14537.6183185989,27648.6259812861,0,0,0,27648.6259812861,0,
