Filename;Records;Currency;SUM_AV;SUM_GUARANTEE;SUM_OLD_AV;SUM_NEW_AV;SUM_OLD_GUARANTEE;SUM_NEW_GUARANTEE
20150901_BaslerLeben_RESA_NewBusiness_v1.csv;1;CHF;94923.919999999998253770172595977783203125;5104.8000000000001818989403545856475830078125;0;0;0;0
20150901_BaslerLeben_RESA_Inforce_v1.csv;1317;CHF;185500813.689999997615814208984375;11499008.5;0;0;0;0
20150802-20150901_BaslerLeben_RESA_Transactions_v1.csv;3;CHF;0;0;164314.41000000000349245965480804443359375;85179.60000000000582076609134674072265625;9514.79999999999927240423858165740966796875;4788.399999999999636202119290828704833984375
