TIME,DURATION_MONTH_BL_CH,IND_CONTRACT_PERIOD_BL_CH,IND_DEFERAL_PERIOD_BL_CH,IND_RATCHET_MONTH_BL_CH,IND_COUPON_DATE_BL_CH,IND_BONUS_VALUATION_DATE_BL_CH,IND_BONUS_PAYMENT_DATE_BL_CH,FUND_RETURN,DISCOUNT_FACTOR,YEAR_BL_CH,MONTH_BL_CH,DURATION_YEAR_BL_CH,DATE_YEAR_BL_CH,DATE_MONTH_BL_CH,ACCOUNT_VALUE_END_BL_CH,ACCOUNT_VALUE_BEF_COUPON_BL_CH,SURVIVAL_INDEX_STEP_BL_CH,SURVIVAL_INDEX_BL_CH,CLAIMS_WB_BL_CH,BASIS_KAPITAL_BL_CH,COUPON_VALUE_BL_CH,ADD_COUPON_RATCHET_BL_CH,PERFORMANCE_BONUS_VAL_BL_CH,BONUS_VAL_BL_CH,FUND_FEES_VAL_BL_CH,DYNAMIC_LAPSE_CH,ITM_VAL_BL_CH,LAPSE_VAL_BL_CH,HEDGE_COST_FEES_BL_CH,FIXED_CHARGE_VALUE_BL_CH,
0,11,1,1,1,0,0,0,0,1,0,0,0,0,0,94542.7661,0,1,1,0,96991.2,808.25,0,0,0,0,0,0,0,457.233900000007,0,
1,0,1,0,0,1,0,1,1.37144412678758e-005,0.999899998535298,1,1,0,2015,9,93397.8492666485,94267.0464456218,0.99831785744726,0.99831785744726,0,96021.156566957,806.890408281748,0,0,0,118.178457625,0.00168214255273957,0.974756123235922,158.837797966201,62.30677069156,0,
2,1,1,0,0,1,0,1,-2.44148905451325e-005,0.999717416385673,1,2,0,2015,10,92254.8360245106,93121.9133816199,0.99831785744726,0.996638544498089,0,95054.1021899419,805.53310359058,0,0,0,116.747311583311,0.00168214255273957,0.972679903116151,156.908275178306,61.5442535186862,0,
3,2,1,0,0,1,0,1,-4.26804071814446e-005,0.999595323688828,1,3,0,2015,11,91115.6324658568,91980.5948257654,0.99831785744726,0.994962056392688,0,94090.0295577563,804.17808207939,0,0,0,115.318545030638,0.00168214255273957,0.970550811580571,154.985179748617,60.784277829124,0,
4,3,1,0,0,1,0,1,-1.65636586047979e-005,0.999754598239344,1,4,0,2015,12,89984.2984680899,90847.1533600108,0.99831785744726,0.993288388379269,0,93128.9313753411,802.825339907544,0,0,0,113.894540582321,0.00168214255273957,0.968387754729382,153.075357033975,60.0295520134022,0,
5,4,1,0,0,1,0,1,-4.09067786253181e-005,1.00010807303996,1,5,0,2016,1,88856.214242232,89716.9661096305,0.99831785744726,0.991617535714034,0,92170.8003637427,801.474873240868,0,0,0,112.480373085112,0.00168214255273957,0.966233555342997,151.171017597145,59.2769941575931,0,
6,5,1,0,0,1,0,1,-1.82586681391605e-005,1.00075322725826,1,6,0,2016,2,87735.586235692,88594.2423243744,0.99831785744726,0.989949493661166,0,91215.6292600791,800.126678251638,0,0,0,111.07026780279,0.00168214255273957,0.96403865314796,149.279253926823,58.5294104307485,0,
7,6,1,0,0,1,0,1,-0.000105772835524073,1.00150137896884,1,7,0,2016,3,86612.6919722485,87469.2530382251,0.99831785744726,0.988284257492816,0,90263.4108175072,798.780751118568,0,0,0,109.669482794615,0.00168214255273957,0.961848171715567,147.383672939775,57.7803148580711,0,
8,7,1,0,0,1,0,1,3.75096981475287e-005,1.00239617388978,1,8,0,2016,4,85507.6764476651,86362.1566820879,0.99831785744726,0.986621822489085,0,89314.1378051889,797.437088026803,0,0,0,108.265864965311,0.00168214255273957,0.959554831662193,145.518241126902,57.0431463960407,0,
9,8,1,0,0,1,0,1,4.07362886329055e-005,1.00339973649159,1,9,0,2016,5,84408.2075887867,85260.6129521326,0.99831785744726,0.984962183938014,0,88367.8030082577,796.0956851679,0,0,0,106.884595559581,0.00168214255273957,0.957381200210134,143.662165361014,56.3096781779765,0,
