TIME,DURATION_MONTH_BL_CH,IND_CONTRACT_PERIOD_BL_CH,IND_DEFERAL_PERIOD_BL_CH,IND_RATCHET_MONTH_BL_CH,IND_COUPON_DATE_BL_CH,IND_BONUS_VALUATION_DATE_BL_CH,IND_BONUS_PAYMENT_DATE_BL_CH,FUND_RETURN,DISCOUNT_FACTOR,YEAR_BL_CH,MONTH_BL_CH,DURATION_YEAR_BL_CH,DATE_YEAR_BL_CH,DATE_MONTH_BL_CH,ACCOUNT_VALUE_END_BL_CH,ACCOUNT_VALUE_BEF_COUPON_BL_CH,SURVIVAL_INDEX_STEP_BL_CH,SURVIVAL_INDEX_BL_CH,CLAIMS_WB_BL_CH,BASIS_KAPITAL_BL_CH,COUPON_VALUE_BL_CH,ADD_COUPON_RATCHET_BL_CH,PERFORMANCE_BONUS_VAL_BL_CH,BONUS_VAL_BL_CH,FUND_FEES_VAL_BL_CH,DYNAMIC_LAPSE_CH,ITM_VAL_BL_CH,LAPSE_VAL_BL_CH,HEDGE_COST_FEES_BL_CH,FIXED_CHARGE_VALUE_BL_CH,
0,11,1,1,1,0,0,0,0,1,0,0,0,0,0,94542.7661,0,1,1,0,96991.2,808.25,0,0,0,0,0,0,0,457.233900000007,0,
1,0,1,0,0,1,0,1,-3.89282031668858e-005,0.999896938053376,1,1,0,2015,9,93392.8839698268,94262.077836394,0.99831785744726,0.99831785744726,0,96021.156566957,806.890408281748,0,0,0,118.178457625,0.00168214255273957,0.974756123235922,158.829425974307,62.3034582854082,0,
2,1,1,0,0,1,0,1,4.4575627829595e-005,0.999696546516274,1,2,0,2015,10,92256.3167944486,93123.3951393964,0.99831785744726,0.996638544498089,0,95054.1021899419,805.53310359058,0,0,0,116.741104962284,0.00168214255273957,0.972628192670254,156.910771905966,61.5452413572038,0,
3,2,1,0,0,1,0,1,-3.81496420814897e-005,0.999474321957222,1,3,0,2015,11,91117.5248601273,91982.4884824736,0.99831785744726,0.994962056392688,0,94090.0295577563,804.17808207939,0,0,0,115.320395993061,0.00168214255273957,0.970566389760827,154.988370516472,60.7855402669295,0,
4,3,1,0,0,1,0,1,3.93294304846115e-005,0.999015819213732,1,4,0,2015,12,89991.2649119351,90854.1244512502,0.99831785744726,0.993288388379269,0,93128.9313753411,802.825339907544,0,0,0,113.896906075159,0.00168214255273957,0.968407867320263,153.087103161849,60.0341994075618,0,
5,4,1,0,0,1,0,1,-2.16033649603298e-005,0.998393387584737,1,5,0,2016,1,88864.888419479,89725.64607352,0.99831785744726,0.991617535714034,0,92170.8003637427,801.474873240868,0,0,0,112.489081139919,0.00168214255273957,0.966308359635738,151.185643136001,59.2827808001861,0,
6,5,1,0,0,1,0,1,8.12778625192334e-005,0.998145521181707,1,6,0,2016,2,87753.0536100872,88611.7213514543,0.99831785744726,0.989949493661166,0,91215.6292600791,800.126678251638,0,0,0,111.081110524349,0.00168214255273957,0.964132762965958,149.308705684109,58.5410631154684,0,
7,6,1,0,0,1,0,1,-1.93554983687672e-005,0.997774955272213,1,7,0,2016,3,86637.6602943071,87494.2380169362,0.99831785744726,0.988284257492816,0,90263.4108175072,798.780751118568,0,0,0,109.691317012609,0.00168214255273957,0.962039667126351,147.425772052353,57.7969715105451,0,
8,7,1,0,0,1,0,1,8.23572141268825e-006,0.997482752165054,1,8,0,2016,4,85530.0256745457,86384.5208183927,0.99831785744726,0.986621822489085,0,89314.1378051889,797.437088026803,0,0,0,108.297075367884,0.00168214255273957,0.959831447866172,145.555924180503,57.058055820244,0,
9,8,1,0,0,1,0,1,5.2880782718312e-005,0.997231266650481,1,9,0,2016,5,84431.5136643033,85283.934575398,0.99831785744726,0.984962183938014,0,88367.8030082577,796.0956851679,0,0,0,106.912532093182,0.00168214255273957,0.957631431891588,143.701461758049,56.3252259268201,0,
