TIME,DURATION_MONTH_BL_CH,IND_CONTRACT_PERIOD_BL_CH,IND_DEFERAL_PERIOD_BL_CH,IND_RATCHET_MONTH_BL_CH,IND_COUPON_DATE_BL_CH,IND_BONUS_VALUATION_DATE_BL_CH,IND_BONUS_PAYMENT_DATE_BL_CH,FUND_RETURN,DISCOUNT_FACTOR,YEAR_BL_CH,MONTH_BL_CH,DURATION_YEAR_BL_CH,DATE_YEAR_BL_CH,DATE_MONTH_BL_CH,ACCOUNT_VALUE_END_BL_CH,ACCOUNT_VALUE_BEF_COUPON_BL_CH,SURVIVAL_INDEX_STEP_BL_CH,SURVIVAL_INDEX_BL_CH,CLAIMS_WB_BL_CH,BASIS_KAPITAL_BL_CH,COUPON_VALUE_BL_CH,ADD_COUPON_RATCHET_BL_CH,PERFORMANCE_BONUS_VAL_BL_CH,BONUS_VAL_BL_CH,FUND_FEES_VAL_BL_CH,DYNAMIC_LAPSE_CH,ITM_VAL_BL_CH,LAPSE_VAL_BL_CH,HEDGE_COST_FEES_BL_CH,FIXED_CHARGE_VALUE_BL_CH,
0,11,1,1,1,0,0,0,0,1,0,0,0,0,0,94542.7661,0,1,1,0,96991.2,808.25,0,0,0,0,0,0,0,457.233900000007,0,
1,0,1,0,0,1,0,1,-3.55486388346915e-005,1.00006477959416,1,1,0,2015,9,93393.2027330694,94262.3968122871,0.99831785744726,0.99831785744726,0,96021.156566957,806.890408281748,0,0,0,118.178457625,0.00168214255273957,0.974756123235922,158.829963441326,62.3036709360036,0,
2,1,1,0,0,1,0,1,-7.9058642212374e-005,0.999844877695331,1,2,0,2015,10,92245.1149333578,93112.1858054162,0.99831785744726,0.996638544498089,0,95054.1021899419,805.53310359058,0,0,0,116.741503416337,0.00168214255273957,0.972631512389094,156.891884436875,61.5377684678838,0,
3,2,1,0,0,1,0,1,-0.000144896683147548,0.999522712994773,1,3,0,2015,11,91096.5399176647,91961.4895407165,0.99831785744726,0.994962056392688,0,94090.0295577563,804.17808207939,0,0,0,115.306393666697,0.00168214255273957,0.970448542547159,154.95298778418,60.7715409724247,0,
4,3,1,0,0,1,0,1,2.2580107233634e-005,0.999212812183356,1,4,0,2015,12,89968.8323584935,90831.6769327963,0.99831785744726,0.993288388379269,0,93128.9313753411,802.825339907544,0,0,0,113.870674897081,0.00168214255273957,0.968184836861443,153.04927961125,60.0192343952592,0,
5,4,1,0,0,1,0,1,-4.78502618249577e-005,0.999075548734681,1,5,0,2016,1,88840.1811301834,89700.9223017099,0.99831785744726,0.991617535714034,0,92170.8003637427,801.474873240868,0,0,0,112.461040448117,0.00168214255273957,0.966067483324689,151.143984151024,59.266298285646,0,
6,5,1,0,0,1,0,1,8.24561851768246e-005,0.999060398868568,1,6,0,2016,2,87728.537570594,88587.1889570315,0.99831785744726,0.989949493661166,0,91215.6292600791,800.126678251638,0,0,0,111.050226412729,0.00168214255273957,0.963864703133581,149.267369165613,58.5247081858532,0,
7,6,1,0,0,1,0,1,8.147532371372e-007,0.999104738580173,1,7,0,2016,3,86614.9982097576,87471.5608142516,0.99831785744726,0.988284257492816,0,90263.4108175072,798.780751118568,0,0,0,109.660671963242,0.00168214255273957,0.961770896963913,147.387561489125,57.781853375422,0,
8,7,1,0,0,1,0,1,-5.41689748486229e-006,0.999218804853512,1,8,0,2016,4,85506.2651230264,86360.7444159384,0.99831785744726,0.986621822489085,0,89314.1378051889,797.437088026803,0,0,0,108.268747762197,0.00168214255273957,0.959580381743762,145.515861491029,57.0422048852744,0,
9,8,1,0,0,1,0,1,-6.27595984406704e-005,0.999322308645246,1,9,0,2016,5,84397.9725093682,85250.3710447758,0.99831785744726,0.984962183938014,0,88367.8030082577,796.0956851679,0,0,0,106.882831403783,0.00168214255273957,0.957365398404581,143.644907983458,56.3028502397386,0,
10,9,1,0,0,1,0,1,8.79720710908605e-005,0.999475385255274,1,10,0,2016,6,83307.7631617911,84158.0952596782,0.99831785744726,0.983305337135573,0,87424.3992277855,794.756538739827,0,0,0,105.49746563671,0.00168214255273957,0.955076052999547,141.80444849079,55.5755591472923,0,
11,10,1,0,0,1,0,1,-0.000112657678890792,0.999855131164125,1,11,0,2016,7,82206.0383910485,83054.2986219801,0.99831785744726,0.981651277385641,0,86483.9192807498,793.419644946944,0,0,0,104.134703952239,0.00168214255273957,0.952912046266758,139.944576627343,54.8405859846888,0,
12,11,1,0,0,1,1,1,-5.16654209773904e-005,1.00015266487349,1,12,0,2016,8,81114.7337912287,81960.9313554657,0.99831785744726,0.98,0,85546.356,792.085,0,0,0,102.757547988811,0.00168214255273957,0.950535533943435,138.102278013673,54.1125642369771,0,
13,0,1,0,0,1,0,1,7.02060594379494e-005,1.00024544696673,2,13,1,2016,9,80038.602288503,80882.7495532546,0.99831785744726,0.978351500298315,0,84611.7022342245,790.752600116113,0,0,0,101.393417239036,0.00168214255273957,0.94819624802287,136.285566556937,53.3946646354256,0,
14,1,1,0,0,1,0,1,-1.86719403247926e-005,1.00018706155252,2,14,1,2016,10,78960.4961409661,79802.5940302106,0.99831785744726,0.976705773608126,0,83679.9508479178,789.422441518768,0,0,0,100.048252860629,0.00168214255273957,0.945951921247701,134.465529426143,52.6754477257946,0,
15,2,1,0,0,1,0,1,-0.000118117644602377,0.999950148165594,2,15,1,2016,11,77879.778790365,78719.8277996556,0.99831785744726,0.975062815264834,0,82751.0947213475,788.094520437802,0,0,0,98.7006201762076,0.00168214255273957,0.94360112955218,132.641093313437,51.9544888528119,0,
16,3,1,0,0,1,0,1,-4.4076085209066e-006,0.999726630580703,2,16,1,2016,12,76813.2334295446,77651.2452469299,0.99831785744726,0.973422620611683,0,81825.1267505216,786.768833109393,0,0,0,97.3497234879563,0.00168214255273957,0.941132912532626,130.840556370572,51.2429842758803,0,
17,4,1,0,0,1,0,1,1.39283400836687e-005,0.999760896688686,2,17,1,2017,1,75753.2544378743,76589.2356738491,0.99831785744726,0.971785184999753,0,80902.0398471552,785.44537577605,0,0,0,96.0165417869308,0.00168214255273957,0.938748725238668,129.051094746732,50.5358601987154,0,
18,5,1,0,0,1,0,1,3.04464156172868e-005,0.999800324460516,2,18,1,2017,2,74699.6397905597,75533.5969170946,0.99831785744726,0.970150503787943,0,79981.8269386382,784.124144686605,0,0,0,94.6915680473429,0.00168214255273957,0.936357780112736,127.27236780139,49.832981848272,0,
19,6,1,0,0,1,0,1,-2.66694997637751e-005,1.00000494993386,2,19,1,2017,3,73646.8422318178,74478.778016501,0.99831785744726,0.968518572342959,0,79064.4809680027,782.805136096197,0,0,0,93.3745497381996,0.00168214255273957,0.933957658254906,125.49502229476,49.1306485869365,0,
20,7,1,0,0,1,0,1,3.27090944595665e-005,1.00002002317832,2,20,1,2017,4,72603.5359235005,73433.4589168138,0.99831785744726,0.966889386039302,0,78149.9948938899,781.488346266266,0,0,0,92.0585527897723,0.00168214255273957,0.931478222966172,123.733683733441,48.4346470470317,0,
21,8,1,0,0,1,0,1,-2.45312351026539e-005,0.999961023369254,2,21,1,2017,5,71561.1136030998,72389.0266097899,0.99831785744726,0.965262940259253,0,77238.3616905179,780.173771464542,0,0,0,90.7544199043757,0.00168214255273957,0.929028031570313,121.973839397296,47.7392352255502,0,
22,9,1,0,0,1,0,1,2.56470228143568e-006,0.999790421452543,2,22,1,2017,6,70525.7099973646,71351.6199109983,0.99831785744726,0.963639230392861,0,76329.5743476494,778.86140796503,0,0,0,89.4513920038747,0.00168214255273957,0.926497041584517,120.225833048901,47.0485056686889,0,
23,10,1,0,0,1,0,1,-0.000131754888426689,0.999643437325079,2,23,1,2017,7,69485.8843003559,70309.7903784882,0.99831785744726,0.962018251837928,0,75423.6258705587,777.551252048005,0,0,0,88.1571374967057,0.00168214255273957,0.923963098184583,118.47037432775,46.3548260842935,0,
24,11,1,0,0,1,1,1,1.5854809789162e-005,0.999447629054807,2,24,1,2017,8,68461.4729913102,69283.3877209242,0.99831785744726,0.960399999999999,0,74520.5092799999,776.243299999999,0,0,0,86.8573553754449,0.00168214255273957,0.921274779597668,116.740909534895,45.6714296139495,0,
25,0,1,0,0,1,0,1,-4.88896535670924e-005,0.999398400528653,3,25,2,2017,9,67437.6107705458,68257.5367181063,0.99831785744726,0.958784470292348,0,73620.2176121744,774.93754811379,0,0,0,85.5768412391378,0.00168214255273957,0.918693037027917,115.012374267558,44.9883994466617,0,
26,1,1,0,0,1,0,1,6.48338831362838e-005,0.999553894449615,3,26,2,2017,10,66426.432945512,67244.3807693849,0.99831785744726,0.957171658135963,0,72722.7439186986,773.633992688392,0,0,0,84.2970134631823,0.00168214255273957,0.916020258535528,113.305229873423,44.3138311844643,0,
27,2,1,0,0,1,0,1,-4.40262509756528e-005,0.999707067824792,3,27,2,2017,11,65412.9109317705,66228.8812608867,0.99831785744726,0.955561558959536,0,71828.081266572,772.332630029046,0,0,0,83.0330411818901,0.00168214255273957,0.913420332706015,111.594136635144,43.6376990872385,0,
28,3,1,0,0,1,0,1,-0.000122862119002622,0.999520494038725,3,28,2,2017,12,64399.2303269344,65213.2252445737,0.99831785744726,0.953954168199448,0,70936.2227381446,771.033456447204,0,0,0,81.7661386647131,0.00168214255273957,0.910687154359683,109.882779684809,42.9614611920843,0,
29,4,1,0,0,1,0,1,8.45722991002562e-005,0.999174595691901,3,29,2,2018,1,63403.9412827719,64215.9752435493,0.99831785744726,0.952349481299757,0,70047.1614310857,769.736468260529,0,0,0,80.499037908668,0.00168214255273957,0.907846905870066,108.2024364455,42.2974925168592,0,
30,5,1,0,0,1,0,1,-6.3690200267148e-005,0.998783117439137,3,30,2,2018,2,62404.0616665247,63214.1337897362,0.99831785744726,0.950747493712183,0,69160.8904583509,768.441661792872,0,0,0,79.2549266034649,0.00168214255273957,0.905160751519538,106.514356714194,41.6304614186289,0,
31,6,1,0,0,1,0,1,-6.25639860315164e-005,0.998608544701693,3,31,2,2018,3,61409.2017857479,62217.3175981653,0.99831785744726,0.949148200896099,0,68277.4029481513,767.149033374272,0,0,0,78.0050770831559,0.00168214255273957,0.902302750195282,104.834744433804,40.9667790431941,0,
32,7,1,0,0,1,0,1,-8.8624118563696e-007,0.998686187840405,3,32,2,2018,4,60423.0485597181,61229.2160440355,0.99831785744726,0.947551598318516,0,67396.6920439207,765.858579340941,0,0,0,76.7615022321849,0.00168214255273957,0.899407404707249,103.169816116404,40.308904976463,0,
33,8,1,0,0,1,0,1,1.61054687850659e-005,0.998563748103267,3,33,2,2018,5,59442.7528880697,60246.978122656,0.99831785744726,0.945957681454068,0,66518.7509042845,764.57029603525,0,0,0,75.5288106996476,0.00168214255273957,0.896528401131941,101.514767884881,39.6549385510805,0,
34,9,1,0,0,1,0,1,1.09633066567349e-005,0.998350734164214,3,34,2,2018,6,58466.9456985001,59269.2338447491,0.99831785744726,0.944366445785003,0,65643.5727030276,763.284179805729,0,0,0,74.3034411100871,0.00168214255273957,0.893624009470703,99.8672913389131,39.0039664432956,0,
35,10,1,0,0,1,0,1,9.68318671631474e-005,0.998432111262107,3,35,2,2018,7,57500.9274047644,58301.2871563911,0.99831785744726,0.942777886801169,0,64771.150629063,762.000227007045,0,0,0,73.0836821231251,0.00168214255273957,0.890672815189468,98.2363235052475,38.3595246195893,0,
36,11,1,0,0,1,1,1,4.09273160134016e-005,0.998599977437283,3,36,2,2018,8,56536.3623083468,57334.7967945872,0.99831785744726,0.941191999999999,0,63901.4778863999,760.718433999999,0,0,0,71.8761592559555,0.00168214255273957,0.887755225070274,96.6078095482197,37.7160522403915,0,
37,0,1,0,0,1,0,1,1.78785293452099e-005,0.998681114222412,4,37,3,2018,9,55575.20394946,56371.7175991462,0.99831785744726,0.939608780886501,0,63034.5476941127,759.438797151514,0,0,0,70.6704528854335,0.00168214255273957,0.884742640989519,94.9850433277976,37.0748525346631,0,
38,1,1,0,0,1,0,1,1.45988377434736e-005,0.998542466213482,4,38,3,2018,10,54618.5783649295,55413.1763544585,0.99831785744726,0.938028224973244,0,62170.3532863091,758.161312834624,0,0,0,69.469004936825,0.00168214255273957,0.881662611733955,93.3699234496778,36.4366766944159,0,
39,2,1,0,0,1,0,1,5.19173765447967e-006,0.998257047788498,4,39,3,2018,11,53666.1395694244,54458.8268407617,0.99831785744726,0.936450327780345,0,61308.8879120989,756.885977428464,0,0,0,68.2732229561619,0.00168214255273957,0.878530931188344,91.7618665415497,35.8012939088888,0,
40,3,1,0,0,1,0,1,0.000104940835929188,0.998202928788959,4,40,3,2018,12,52723.73254593,53514.5179366812,0.99831785744726,0.934875084835459,0,60450.1448355626,755.61278731826,0,0,0,67.0826744617804,0.00168214255273957,0.875340287469701,90.1707278289291,35.1726034329086,0,
41,4,1,0,0,1,0,1,-3.27348392778171e-005,0.99841456954582,4,41,3,2019,1,51778.643045198,52567.5269075391,0.99831785744726,0.933302491673761,0,59594.1173357201,754.341738895318,0,0,0,65.9046656824125,0.00168214255273957,0.872185380024314,88.5750697974722,34.5421234457625,0,
42,5,1,0,0,1,0,1,7.92857035206707e-006,0.998727901015126,4,42,3,2019,2,50840.3503901997,51627.3393964687,0.99831785744726,0.931732543837939,0,58740.7987064997,753.072828557014,0,0,0,64.7233038064975,0.00168214255273957,0.868854936696284,86.990875536969,33.9161777119411,0,
43,6,1,0,0,1,0,1,-5.98333103219018e-005,0.999298448817138,4,43,3,2019,3,49903.2522253033,50688.3493068462,0.99831785744726,0.930165236878177,0,57890.1822567068,751.806052706787,0,0,0,63.5504379877496,0.00168214255273957,0.865503219393137,85.408698903974,33.2910288360929,0,
44,7,1,0,0,1,0,1,9.24446120862288e-005,1.0001113547329,4,44,3,2019,4,48978.4237600304,49761.6392330013,0.99831785744726,0.928600566352145,0,57042.2613099928,750.541407754121,0,0,0,62.3790652816292,0.00168214255273957,0.862033081948396,83.8472138141921,32.6740652168315,0,
45,8,1,0,0,1,0,1,3.34220537861962e-005,1.00091656795717,4,45,3,2019,5,48055.2121609929,48836.5492313349,0.99831785744726,0.927038527824986,0,56197.0292048243,749.278890114545,0,0,0,61.223029700038,0.00168214255273957,0.858633978303559,82.2884585086464,32.0581802274803,0,
46,9,1,0,0,1,0,1,8.56357949876529e-005,1.0015673524466,4,46,3,2019,6,47139.0513019703,47918.5167970471,0.99831785744726,0.925479116869303,0,55354.4792944517,748.018496209614,0,0,0,60.0690152012411,0.00168214255273957,0.85512015209636,80.741595041274,31.446998867225,0,
47,10,1,0,0,1,0,1,-6.96796924478404e-005,1.0022701425666,4,47,3,2019,7,46220.05874172,46997.6528926337,0.99831785744726,0.923922329065145,0,54514.6049468788,746.760222466904,0,0,0,58.9238141274628,0.00168214255273957,0.851585127397182,79.1899606120787,30.8339284467779,0,
48,11,1,0,0,1,1,1,-0.000111646318973625,1.00308344295135,4,48,3,2019,8,45303.7537912593,46079.4805075408,0.99831785744726,0.922368159999998,0,53677.3995448319,745.504065319999,0,0,0,57.77507342715,0.00168214255273957,0.847847265641174,77.6428613308292,30.2226509614805,0,
49,0,1,0,0,1,0,1,-0.00019699466063328,1.00376446344839,5,49,4,2019,9,44388.240478231,45162.1024010261,0.99831785744726,0.92081660526877,0,52842.8564857286,744.250021208484,0,0,0,56.6296922390742,0.00168214255273957,0.844000532354798,76.0971003906553,29.6119015865451,0,
50,1,1,0,0,1,0,1,1.29351383541199e-006,1.00411539621498,5,50,4,2019,10,43486.2302370459,44258.2384838887,0.99831785744726,0.919267660473779,0,52010.9691816478,742.998086577932,0,0,0,55.4853005977888,0.00168214255273957,0.840004561264001,74.5741105477305,29.0101602648739,0,
51,2,1,0,0,1,0,1,5.85034021098774e-005,1.00441639820057,5,51,4,2019,11,42591.1923331964,43361.3536613453,0.99831785744726,0.917721321224738,0,51181.7310592982,741.748257879895,0,0,0,54.3577877963074,0.00168214255273957,0.836097287192836,73.0628803181477,28.4130702689769,0,
52,3,1,0,0,1,0,1,-3.94064384340642e-006,1.00495025939014,5,52,4,2019,12,41697.9132018188,42466.230886961,0.99831785744726,0.91617758313875,0,50355.1355599886,740.500531571895,0,0,0,53.2389904164955,0.00168214255273957,0.832156151261297,71.5546190990523,27.8171535702594,0,
53,4,1,0,0,1,0,1,-0.000124911833001712,1.00561538516093,5,53,4,2020,1,40804.0610934772,41570.5368522267,0.99831785744726,0.914636441840286,0,49531.1761395967,739.254904117411,0,0,0,52.1223915022735,0.00168214255273957,0.82807667456567,70.0453953194495,27.2208546320729,0,
54,5,1,0,0,1,0,1,0.000115287328690072,1.00645375834766,5,54,4,2020,2,39924.5543478779,40689.1998455128,0.99831785744726,0.91309789296118,0,48709.8462685392,738.011371985874,0,0,0,51.0050763668465,0.00168214255273957,0.823805616456122,68.56036280076,26.634125649018,0,
55,6,1,0,0,1,0,1,-4.76777874589962e-005,1.00702448743371,5,55,4,2020,3,39042.8576318667,39805.6734992311,0.99831785744726,0.911561932140613,0,47891.1394317408,736.769931652651,0,0,0,49.9056929348474,0.00168214255273957,0.81964032749708,67.0716412954196,26.0459357117189,0,
56,7,1,0,0,1,0,1,-5.85217169736163e-005,1.0077719019205,5,56,4,2020,4,38165.1884783704,38926.1794905767,0.99831785744726,0.910028555025102,0,47075.0491286045,735.530579599039,0,0,0,48.8035720398334,0.00168214255273957,0.815241777396305,65.5897141859318,25.4604326073185,0,
57,8,1,0,0,1,0,1,-1.35285518230377e-005,1.00828323103048,5,57,4,2020,5,37293.6751546629,38052.8475031023,0.99831785744726,0.908497757268486,0,46261.5688729807,734.293312312254,0,0,0,47.706485597963,0.00168214255273957,0.810730720091375,64.118169939938,24.8790361271934,0,
58,9,1,0,0,1,0,1,0.000155633145471543,1.00889269143977,5,58,4,2020,6,36432.8346820712,37190.1975679844,0.99831785744726,0.906969534531916,0,45450.6921931376,733.058126285422,0,0,0,46.6170939433286,0.00168214255273957,0.806148084970037,62.6646247056672,24.3047596277993,0,
59,10,1,0,0,1,0,1,3.58149528224305e-005,1.00957554856043,5,59,4,2020,7,35571.8322759196,36327.3876690379,0.99831785744726,0.905443882483842,0,44642.4126317304,731.825018017565,0,0,0,45.541043352589,0.00168214255273957,0.801590315220151,61.2108099360365,23.7303751006802,0,
60,11,1,0,0,1,1,1,-2.24936677380527e-005,1.01035244159,5,60,4,2020,8,34713.2878563758,35467.044368726,0.998324550320458,0.903926856821091,0,43837.017633767,730.598882025647,0,0,0,44.4647903448995,0.00167544967954166,0.796816976926473,59.522975872723,23.1576303244669,0,
61,0,1,0,0,1,0,1,7.64268196821072e-005,1.01124047705519,6,61,5,2020,9,33862.8450195485,34614.8177073271,0.998334948925571,0.902421772436936,0,43034.644362884,729.382397572153,0,0,0,43.3916098204698,0.00166505107442941,0.791871567230813,57.7315654197939,22.5902902065033,0,
62,1,1,0,0,1,0,1,-2.9093542643609e-005,1.01217479654091,6,62,5,2020,10,33013.3762045013,33763.5754074686,0.998345457090226,0.900928676891724,0,42235.266094081,728.175603097736,0,0,0,42.3285562744356,0.00165454290977411,0.786874052774888,55.9558656798714,22.0235998695806,0,
63,2,1,0,0,1,0,1,7.62719633612985e-005,1.01315030534447,6,63,5,2020,11,32171.9903575768,32920.4314567704,0.998356432607779,0.899447939895669,0,41438.8707905063,726.978797420674,0,0,0,41.2667202556266,0.00164356739222055,0.781654272781482,54.1960224955411,21.4623017728998,0,
64,3,1,0,0,1,0,1,-7.99193121600306e-005,1.01433539396036,6,64,5,2020,12,31330.0618573684,32076.7545318848,0.998367538950916,0.897979626168111,0,40645.4314151724,725.792032850376,0,0,0,40.214987946971,0.00163246104908358,0.776372274240336,52.4496744048203,20.900641666023,0,
65,4,1,0,0,1,0,1,-5.30148954950627e-006,1.01553629685858,6,65,5,2021,1,30495.0587032775,31240.0179931773,0.998379226508512,0.896524204594121,0,39854.9386890214,724.615688363199,0,0,0,39.1625773217105,0.00162077349148795,0.770813859431034,50.7151908739326,20.3436015365427,0,
66,5,1,0,0,1,0,1,-1.16587256635403e-005,1.01678327544917,6,66,5,2021,2,29664.3444527892,30407.5837534814,0.998391133019507,0.895081816404137,0,39067.3675160464,723.449878108644,0,0,0,38.1188233790969,0.00160886698049309,0.765151313899218,49.0005928934852,19.7894225835819,0,
67,6,1,0,0,1,0,1,-1.38303708382181e-005,1.01794458597738,6,67,5,2021,3,28838.0188169601,29579.5518135196,0.998403409953247,0.893652737685037,0,38282.6981206835,722.294825233931,0,0,0,37.0804305659865,0.00159659004675274,0.75931260125487,47.3019398191797,19.2381713255238,0,
68,7,1,0,0,1,0,1,1.55052062065741e-005,1.01879271945452,6,68,5,2021,4,28016.956256248,28756.797448934,0.998416071065714,0.892237255256613,0,37500.9102858865,721.150761561158,0,0,0,36.0475235212002,0.00158392893428612,0.753291179374303,45.6209839332343,18.6904311249153,0,
69,8,1,0,0,1,0,1,9.53626943920538e-006,1.01941310598012,6,69,5,2021,5,27200.0812698201,27938.2446512506,0.998429087655553,0.890835628738155,0,36721.9817460628,720.017896927614,0,0,0,35.02119532031,0.00157091234444697,0.74710069816071,43.957586920755,18.145484502882,0,
70,9,1,0,0,1,0,1,-7.44885224352632e-005,1.01986034201741,6,70,5,2021,6,26385.24974621,27121.7481451623,0.998442540000348,0.889448187880131,0,35945.8922305312,718.896497854116,0,0,0,34.0001015872752,0.00155745999965146,0.740702978883661,42.3069292066589,17.6019010982054,0,
71,10,1,0,0,1,0,1,-4.61452369859572e-005,1.02039645014705,6,71,5,2021,7,25575.5311674411,26310.3798330556,0.998456577768396,0.888075393773097,0,35172.6256043107,717.786937017106,0,0,0,32.9815621827625,0.00154342223160421,0.734026841704021,40.6707973691257,17.061728597359,0,
72,11,1,0,0,1,1,1,-5.33740937408833e-005,1.02098138054959,6,72,5,2021,8,24769.9302138224,25503.1439950299,0.99847105211274,0.88671757277606,0,34402.1590145074,716.689478196251,0,0,0,31.9694139593014,0.00152894788725971,0.727143075844376,39.0526876539613,16.5243030112224,0,
73,0,1,0,0,1,0,1,-5.62512908067936e-005,1.0216403875746,7,73,6,2021,9,23968.5288541586,24700.1229784371,0.998486048738122,0.885375125587827,0,33634.4713771997,715.604445256361,0,0,0,30.962412767278,0.00151395126187755,0.720010921505739,37.4514820702749,15.9896790221205,0,
74,1,1,0,0,1,0,1,-4.8171169092861e-005,1.02221891524555,7,74,6,2021,10,23171.5554423085,23901.5456303429,0.998501593727311,0.884048473945963,0,32869.5410952427,714.532179066825,0,0,0,29.9606610676983,0.00149840627268926,0.712617974142046,35.8679706917474,15.4580089675174,0,
