TIME,DURATION_MONTH_BL_CH,IND_CONTRACT_PERIOD_BL_CH,IND_DEFERAL_PERIOD_BL_CH,IND_RATCHET_MONTH_BL_CH,IND_COUPON_DATE_BL_CH,IND_BONUS_VALUATION_DATE_BL_CH,IND_BONUS_PAYMENT_DATE_BL_CH,FUND_RETURN,DISCOUNT_FACTOR,YEAR_BL_CH,MONTH_BL_CH,DURATION_YEAR_BL_CH,DATE_YEAR_BL_CH,DATE_MONTH_BL_CH,ACCOUNT_VALUE_END_BL_CH,ACCOUNT_VALUE_BEF_COUPON_BL_CH,SURVIVAL_INDEX_STEP_BL_CH,SURVIVAL_INDEX_BL_CH,CLAIMS_WB_BL_CH,BASIS_KAPITAL_BL_CH,COUPON_VALUE_BL_CH,ADD_COUPON_RATCHET_BL_CH,PERFORMANCE_BONUS_VAL_BL_CH,BONUS_VAL_BL_CH,FUND_FEES_VAL_BL_CH,DYNAMIC_LAPSE_CH,ITM_VAL_BL_CH,LAPSE_VAL_BL_CH,HEDGE_COST_FEES_BL_CH,FIXED_CHARGE_VALUE_BL_CH,
0,11,1,1,1,0,0,0,0,1,0,0,0,0,0,94542.7661,0,1,1,0,96991.2,808.25,0,0,0,0,0,0,0,457.233900000007,0,
1,0,1,0,0,1,0,1,3.95822865513851e-005,1.0000197357037,1,1,0,2015,9,93400.2891427479,94269.4879493904,0.99831785744726,0.99831785744726,0,96021.156566957,806.890408281748,0,0,0,118.178457625,0.00168214255273957,0.974756123235922,158.841911843711,62.3083983607391,0,
2,1,1,0,0,1,0,1,-4.38788875520546e-005,1.0001367303171,1,2,0,2015,10,92255.4533954424,93122.5311644068,0.99831785744726,0.996638544498089,0,95054.1021899419,805.53310359058,0,0,0,116.750361428435,0.00168214255273957,0.972705312892357,156.909316128046,61.5446653738775,0,
3,2,1,0,0,1,0,1,3.88011052618831e-005,1.00027539970939,1,3,0,2015,11,91123.747057242,91988.714830487,0.99831785744726,0.994962056392688,0,94090.0295577563,804.17808207939,0,0,0,115.319316744303,0.00168214255273957,0.970557306523109,154.998861769196,60.7896911656051,0,
4,3,1,0,0,1,0,1,-3.86704834882634e-005,1.00065040449788,1,4,0,2015,12,89990.3740280266,90853.2329730229,0.99831785744726,0.993288388379269,0,93128.9313753411,802.825339907544,0,0,0,113.904683821553,0.00168214255273957,0.9684739975696,153.085601041608,60.0336050887436,0,
5,4,1,0,0,1,0,1,2.21626391850571e-005,1.00118966758869,1,5,0,2016,1,88867.9300299488,89728.6897130829,0.99831785744726,0.991617535714034,0,92170.8003637427,801.474873240868,0,0,0,112.487967535033,0.00168214255273957,0.966298793500968,151.19077159843,59.284809893228,0,
6,5,1,0,0,1,0,1,-8.01097090797076e-005,1.00135313536814,1,6,0,2016,2,87741.7760248922,88600.4362428536,0.99831785744726,0.989949493661166,0,91215.6292600791,800.126678251638,0,0,0,111.084912537436,0.00168214255273957,0.964165762684501,149.28969053653,58.5335397097347,0,
7,6,1,0,0,1,0,1,1.99178275548229e-005,1.00163917632811,1,7,0,2016,3,86629.8612884611,87486.4338082845,0.99831785744726,0.988284257492816,0,90263.4108175072,798.780751118568,0,0,0,109.677220031115,0.00168214255273957,0.961916030581974,147.412622140863,57.7917687047773,0,
8,7,1,0,0,1,0,1,-7.69778147460487e-006,1.00184594166739,1,8,0,2016,4,85520.8775635299,86375.3666045678,0.99831785744726,0.986621822489085,0,89314.1378051889,797.437088026803,0,0,0,108.287326610576,0.00168214255273957,0.95974504512806,145.54049954145,57.0519530110273,0,
9,8,1,0,0,1,0,1,-5.20649616576885e-005,1.00201102975588,1,9,0,2016,5,84413.44397433,85265.8528309284,0.99831785744726,0.984962183938014,0,88367.8030082577,796.0956851679,0,0,0,106.901096954412,0.00168214255273957,0.95752900565493,143.67099443587,56.313171430507,0,
10,9,1,0,0,1,0,1,4.83087276156757e-005,1.00199729976165,1,10,0,2016,6,83319.8401094333,84170.1802639899,0.99831785744726,0.983305337135573,0,87424.3992277855,794.756538739827,0,0,0,105.516804967912,0.00168214255273957,0.955251133339162,141.824811444183,55.5836158168334,0,
11,10,1,0,0,1,0,1,1.81531625933928e-005,1.00192059365286,1,11,0,2016,7,82228.9441183009,83077.2196299045,0.99831785744726,0.981651277385641,0,86483.9192807498,793.419644946944,0,0,0,104.149800136792,0.00168214255273957,0.9530501878811,139.983197996773,54.8558666566383,0,
12,11,1,0,0,1,1,1,-4.87968332997091e-005,1.00167030822368,1,12,0,2016,8,81137.7913245505,81984.004270731,0.99831785744726,0.98,0,85546.356,792.085,0,0,0,102.786180147876,0.00168214255273957,0.950800389276576,138.141155343467,54.1279461804873,0,
13,0,1,0,0,1,0,1,-1.60047353643356e-005,1.00162260064344,2,13,1,2016,9,80054.60001915,80898.7579561702,0.99831785744726,0.978351500298315,0,84611.7022342245,790.752600116113,0,0,0,101.422239155688,0.00168214255273957,0.948465780641206,136.312540346442,53.405336904036,0,
14,1,1,0,0,1,0,1,-3.75478728605938e-005,1.00195969395295,2,14,1,2016,10,78974.9285080867,79817.036025328,0.99831785744726,0.976705773608126,0,83679.9508479178,789.422441518768,0,0,0,100.068250023938,0.00168214255273957,0.946140993565413,134.489863854654,52.6850757225395,0,
