TIME,DURATION_MONTH_BL_CH,IND_CONTRACT_PERIOD_BL_CH,IND_DEFERAL_PERIOD_BL_CH,IND_RATCHET_MONTH_BL_CH,IND_COUPON_DATE_BL_CH,IND_BONUS_VALUATION_DATE_BL_CH,IND_BONUS_PAYMENT_DATE_BL_CH,FUND_RETURN,DISCOUNT_FACTOR,YEAR_BL_CH,MONTH_BL_CH,DURATION_YEAR_BL_CH,DATE_YEAR_BL_CH,DATE_MONTH_BL_CH,ACCOUNT_VALUE_END_BL_CH,ACCOUNT_VALUE_BEF_COUPON_BL_CH,SURVIVAL_INDEX_STEP_BL_CH,SURVIVAL_INDEX_BL_CH,CLAIMS_WB_BL_CH,BASIS_KAPITAL_BL_CH,COUPON_VALUE_BL_CH,ADD_COUPON_RATCHET_BL_CH,PERFORMANCE_BONUS_VAL_BL_CH,BONUS_VAL_BL_CH,FUND_FEES_VAL_BL_CH,DYNAMIC_LAPSE_CH,ITM_VAL_BL_CH,LAPSE_VAL_BL_CH,HEDGE_COST_FEES_BL_CH,FIXED_CHARGE_VALUE_BL_CH,
0,11,1,1,1,0,0,0,0,1,0,0,0,0,0,94542.7661,0,1,1,0,96991.2,808.25,0,0,0,0,0,0,0,457.233900000007,0,
1,0,1,0,0,1,0,1,0.000115914217489164,0.999858209118796,1,1,0,2015,9,93407.4888322419,94276.6924418794,0.99831785744726,0.99831785744726,0,96021.156566957,806.890408281748,0,0,0,118.178457625,0.00168214255273957,0.974756123235922,158.854051247305,62.3132013557318,0,
2,1,1,0,0,1,0,1,5.46956271032117e-005,0.999850483958385,1,2,0,2015,10,92271.8128699687,93138.9015525252,0.99831785744726,0.996638544498089,0,95054.1021899419,805.53310359058,0,0,0,116.759361040302,0.00168214255273957,0.972780293133707,156.936899854264,61.5555789659564,0,
3,2,1,0,0,1,0,1,3.97726445050894e-005,1.00000364505358,1,3,0,2015,11,91140.1377919979,92005.116499689,0.99831785744726,0.994962056392688,0,94090.0295577563,804.17808207939,0,0,0,115.339766087461,0.00168214255273957,0.970729413503759,155.026498203319,60.8006256117397,0,
4,3,1,0,0,1,0,1,-9.45009958456478e-006,1.00027606699905,1,4,0,2015,12,90009.362107358,90872.2337195186,0.99831785744726,0.993288388379269,0,93128.9313753411,802.825339907544,0,0,0,113.925172239997,0.00168214255273957,0.968648200243707,153.117616860994,60.046272253074,0,
5,4,1,0,0,1,0,1,-4.37343731222728e-005,1.00052352135326,1,5,0,2016,1,88880.9328485703,89741.7012060331,0.99831785744726,0.991617535714034,0,92170.8003637427,801.474873240868,0,0,0,112.511702634197,0.00168214255273957,0.966502683731973,151.212695663799,59.2934842218615,0,
6,5,1,0,0,1,0,1,2.85390752333003e-005,1.00068977930188,1,6,0,2016,2,87764.3651965223,88623.0404839778,0.99831785744726,0.989949493661166,0,91215.6292600791,800.126678251638,0,0,0,111.101166060713,0.00168214255273957,0.964306835763721,149.327778161212,58.5486092038174,0,
7,6,1,0,0,1,0,1,-9.78305379847566e-005,1.00095788885401,1,7,0,2016,3,86642.0598571763,87498.6405148039,0.99831785744726,0.988284257492816,0,90263.4108175072,798.780751118568,0,0,0,109.705456495653,0.00168214255273957,0.962163676427465,147.433190159668,57.7999065091236,0,
8,7,1,0,0,1,0,1,-8.00068310736757e-007,1.00161952426258,1,8,0,2016,4,85533.6284167432,86388.1259640206,0.99831785744726,0.986621822489085,0,89314.1378051889,797.437088026803,0,0,0,108.30257482147,0.00168214255273957,0.959880189242432,145.561998767694,57.0604592506626,0,
9,8,1,0,0,1,0,1,9.63010424100519e-006,1.00271840026578,1,9,0,2016,5,84431.4129431455,85283.833787048,0.99831785744726,0.984962183938014,0,88367.8030082577,796.0956851679,0,0,0,106.917035520929,0.00168214255273957,0.957671769762904,143.701291932005,56.3251587345867,0,
10,9,1,0,0,1,0,1,-8.36825864477064e-005,1.00368606076366,1,10,0,2016,6,83326.6273002516,84176.9719826207,0.99831785744726,0.983305337135573,0,87424.3992277855,794.756538739827,0,0,0,105.539266178932,0.00168214255273957,0.955454476278602,141.836255333351,55.5881436292539,0,
11,10,1,0,0,1,0,1,-1.95444747239126e-005,1.00479413539524,1,11,0,2016,7,82232.5731913851,83080.8511239847,0.99831785744726,0.981651277385641,0,86483.9192807498,793.419644946944,0,0,0,104.158284125315,0.00168214255273957,0.953127822853468,139.989316980498,54.8582876526918,0,
12,11,1,0,0,1,1,1,9.99142310795564e-006,1.00595507148674,1,12,0,2016,8,81146.2301354894,81992.4487112969,0.99831785744726,0.98,0,85546.356,792.085,0,0,0,102.790716489231,0.00168214255273957,0.950842351679695,138.155384030958,54.1335758075313,0,
13,0,1,0,0,1,0,1,-4.49430835412346e-005,1.00719269736992,2,13,1,2016,9,80060.665634971,80904.8276184327,0.99831785744726,0.978351500298315,0,84611.7022342245,790.752600116113,0,0,0,101.432787669362,0.00168214255273957,0.94856442670088,136.322767587291,53.4093833455444,0,
14,1,1,0,0,1,0,1,0.000183042517526526,1.00801780547881,2,14,1,2016,10,78998.59124418,79840.7145471025,0.99831785744726,0.976705773608126,0,83679.9508479178,789.422441518768,0,0,0,100.075832043714,0.00168214255273957,0.946212681235804,134.529761617441,52.7008614037225,0,
15,2,1,0,0,1,0,1,5.95445937109362e-006,1.00870596232421,2,15,1,2016,11,77927.51097246,78767.5918244338,0.99831785744726,0.975062815264834,0,82751.0947213475,788.094520437802,0,0,0,98.7482390552251,0.00168214255273957,0.944056377228928,132.721574592991,51.9863315359973,0,
