ACCHANC GR DEU,N,0.191486,0.501447,0.146731,0.108718,0.031618,0.007836,0.006798,0.005366,0,0,0,0,0,0,0,0,0,0,0,0,1
ACWACHS GR DEU,Y,0.09574,0.25072,0.07337,0.05436,0.01581,0.26607,0.21145,0.03249,0,0,0,0,0,0,0,0,0,0,0,0,1.00001
ACWACHS GR DEU,N,0.09574,0.25072,0.07337,0.05436,0.01581,0.26607,0.21145,0.03249,0,0,0,0,0,0,0,0,0,0,0,0,1.00001
LU0122113094 DEU,Y,0.232,0.3559,0.1043,0.1188,0,0,0,0.189,0,0,0,0,0,0,0,0,0,0,0,0,1
LU0122113094 DEU,N,0.232,0.3559,0.1043,0.1188,0,0,0,0.189,0,0,0,0,0,0,0,0,0,0,0,0,1
LU0030166507 DEU,Y,0.6172,0,0,0.2475,0.0969,0,0,0.0384,0,0,0,0,0,0,0,0,0,0,0,0,1
LU0030166507 DEU,N,0.6172,0,0,0.2475,0.0969,0,0,0.0384,0,0,0,0,0,0,0,0,0,0,0,0,1
LU0257359355 DEU,Y,0.1833,0.2159,0.59123,0,0,0,0,0.00957,0,0,0,0,0,0,0,0,0,0,0,0,1
LU0257359355 DEU,N,0.1833,0.2159,0.59123,0,0,0,0,0.00957,0,0,0,0,0,0,0,0,0,0,0,0,1
GB0030932676 DEU,Y,0.25139,0.29047,0.22149,0.21874,0,0,0,0.01792,0,0,0,0,0,0,0,0,0,0,0,0,1.00001
GB0030932676 DEU,N,0.25139,0.29047,0.22149,0.21874,0,0,0,0.01792,0,0,0,0,0,0,0,0,0,0,0,0,1.00001
LU0171285314 DEU,Y,0.2845,0.477,0.1985,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,1
LU0171285314 DEU,N,0.2845,0.477,0.1985,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,1
LU0064319337 DEU,Y,0.6246,0,0,0.182,0.0789,0,0,0.1145,0,0,0,0,0,0,0,0,0,0,0,0,1
LU0064319337 DEU,N,0.6246,0,0,0.182,0.0789,0,0,0.1145,0,0,0,0,0,0,0,0,0,0,0,0,1
LU0260862726 DEU,Y,0.2547,0.0979,0.0091,0.0763,0.0205,0,0.0302,0.5113,0,0,0,0,0,0,0,0,0,0,0,0,1
